000009503 Gatza, Marene 3.67 2021
000915210 Mundschenk, Kristy 0.56 2022
000918813 Mandala, Shani 1.97 2018
000961841 Crall, Faizan 0.35 2021
000966998 Boughamer, Andras 2.21 2022
000967044 Coldwell, Madi 4.77 2022
000981359 Nadine, Boguslaw 2.16 2021
001002152 Stenner, Auristela 0.65 2019
001010598 Finco, Huma 3.79 2020
001025884 Shoe, Diouf 4.96 2019
001045233 Clantz, Camino 1.17 2020
001047396 Delvecchio, Geisa 3.92 2021
001058572 Wehmann, Jhonatan 1.40 2019
001075203 Tinin, Maimuna 0.29 2020
001080106 Holthouse, Zitouni 2.23 2018
001083534 Robichaux, Dorte 3.55 2020
001089758 Shollenberger, Vi 0.24 2021
001103905 Renart, Nasrine 1.55 2022
001113199 Storjohann, Adelmo 1.21 2021
001117155 Goldinger, Carine 3.56 2018
001118406 Victorero, Ferdaouss 2.82 2022
001122338 Corish, Verginia 3.24 2021
001143853 Aumend, Andriu 2.60 2021
001149836 Coonrod, Primiano 4.51 2018
001153563 Brodt, Dahba 2.25 2019
001163752 Sojourner, Ilyass 0.55 2019
001164258 Greist, Mildred 2.12 2018
001164339 Larson, Annunziata 4.42 2019
001176580 Parish, Arsilia 0.23 2020
001177089 Jobson, Faraji 0.61 2020
001186577 Fonner, Naema 1.71 2021
001189274 Tirone, Talib 0.29 2020
001197772 Fluellen, Castora 1.72 2020
001197176 Martines, Taneka 2.26 2019
001203416 Fulmore, Radi 1.41 2021
001257387 Schraeder, Ishtiaq 1.24 2018
001262790 Straface, Ginger 3.25 2021
001266949 Singley, Vidalina 2.55 2021
001277483 Roshia, Valorie 3.98 2020
001281351 Dusi, Zinedine 2.94 2018
001304516 Coradi, Lixiang 4.11 2019
001310531 Beyer, Steluta 0.37 2019
001314256 Dustman, Alecia 3.72 2022
001316498 Greenwade, Alimatou 3.30 2020
001342154 Traister, Yaniel 2.23 2022
001352082 Nihart, Assia 3.22 2022
001363647 Vilkoski, Shuqin 1.89 2020
001367531 Frosch, Yennifer 0.71 2018
001369634 Rawling, Denislava 3.34 2022
001383086 Georges, America 3.41 2022
001387097 Baca, Verka 0.49 2019
001394014 Panis, Cristopher 4.28 2021
001417870 Stegall, Issmail 3.08 2021
001434686 Dorado, Manel 4.34 2020
001442033 Mcnevin, Cheikh 1.16 2021
001446262 Dortilla, Xinlei 2.36 2019
001463468 Pratillo, Sayonara 2.20 2020
001467063 Defusco, Lingyun 1.92 2022
001477008 Ginoza, Azzouz 0.76 2021
001479098 Gerondale, Edur 3.95 2022
001480266 Polinski, Sarwan 3.70 2022
001498867 Abram, Tandra 4.35 2020
001511692 Michelle, Anneke 1.05 2022
001518469 Harootunian, Stanciu 4.88 2019
001533216 Detweiler, Minta 1.97 2020
001535887 Colletti, Yisenia 3.77 2020
001542842 Sinnott, Tonet 3.31 2022
001546777 Kaufhold, Ribana 2.25 2022
001554106 Mattos, Malam 4.70 2018
001568679 Debiase, Milo 1.50 2019
001581331 Grasse, Adao 0.88 2021
001591253 Butanda, Sheraz 0.90 2018
001594272 Darsow, Codes 1.51 2021
001597624 Akuchie, Glicerio 1.42 2019
001602103 Stalvey, Mengyao 4.46 2019
001616534 Matuke, Wan 3.27 2018
001620032 Flahive, Cathey 2.77 2019
001628020 Mcgowin, Tfarrah 1.87 2021
001657541 Kurnik, Ot 4.24 2021
001664834 Schwarzenbach, Eralia 0.41 2020
001688596 Mickel, Ebonie 2.68 2018
001689366 Ciampanella, Aleksandrs 0.38 2022
001707910 Leaton, Neco 2.60 2021
001711541 Gionest, Indiara 0.89 2019
001713805 Elliott, Agnes 0.72 2018
001735907 Goos, Antione 3.83 2021
001754979 Klukken, Joselyne 0.60 2018
001759166 Brazee, Hugh 2.08 2022
001770747 Brownle, Artak 2.28 2021
001783638 Flavell, Dalmira 3.38 2018
001793774 Espericueta, Boi 1.32 2018
001801817 Cauffman, Safwan 4.93 2020
001839995 Korpela, Mubarak 1.67 2018
001842270 Schlesser, Alhassan 4.22 2021
001843472 Rehor, Juanelo 1.95 2019
001847823 Dejohn, Dulcenombre 0.94 2021
001853734 Swam, Angelina 3.09 2018
001854838 Lufkin, Mbark 1.32 2018
001867623 Hillian, Attila 1.10 2022
001868190 Zavalza, Lluisa 2.52 2021
001872773 Meir, Yakeline 0.13 2018
001872099 Litehiser, Gabina 3.42 2018
001886727 Ascol, Zhijun 3.43 2018
001906914 Flore, Arnel 2.78 2022
001920195 Lournes, Zaharia 4.25 2021
001928653 Baskette, Llara 0.46 2021
001932654 Wanzek, Yanely 3.62 2020
001944219 Insley, Ayoube 4.05 2022
001962780 Toon, Zebenzui 3.05 2018
001969612 Bake, Columbiano 0.26 2019
001971458 Sibille, Edelmiro 3.43 2019
001976579 Singco, Micki 0.54 2019
001983333 Mcguinnes, Roland 3.57 2021
001984429 Marko, Ferran 3.84 2020
002006974 Hinerman, Ancizar 0.68 2022
002025750 Doman, Mohammad 4.05 2022
002033559 Muther, Mable 1.72 2019
002039225 Everitt, Gertraud 1.32 2020
002063320 Peddicord, Satou 3.06 2019
002072184 Shotton, Aniela 2.40 2021
002087367 Matteucci, Arcadia 2.11 2021
002114235 Tarboro, Medoune 3.97 2018
002126750 Liebermann, Vahan 2.18 2018
002133791 Cahalan, Taleb 3.27 2019
002140271 Hinde, Zora 1.04 2021
002141667 Stasiak, Junyan 3.00 2021
002145501 Kanatzar, Manana 4.33 2020
002160009 Ishida, Monsef 4.21 2021
002168347 Canes, Aurimas 0.25 2020
002179831 Zeidler, Lidiana 1.40 2018
002182089 Hempel, Rogelia 0.29 2021
002182801 Enderby, Tor 0.76 2022
002185968 Fanizzi, Eugene 0.87 2018
002194305 Toussaint, Isacio 3.06 2021
002194924 Billeter, Sherwin 4.63 2022
002194288 Mcgorry, Shaohua 1.69 2019
002205101 Rhinehart, Vlad 3.38 2021
002211684 Wernert, Mimona 4.80 2021
002216452 Heidi, Godwin 4.23 2019
002218474 Kalar, Osmany 4.24 2022
002218056 Burlingame, Oceania 1.64 2020
002226706 Derocco, Argimiro 3.96 2018
002231022 Rouillard, Darek 0.27 2020
002232691 Mee, Banta 0.51 2022
002242725 Rodkey, Robertas 1.91 2022
002244695 Greeb, Nfamara 1.59 2022
002244795 Oxborough, Patrizia 3.82 2021
002255965 Credle, Asterio 2.83 2022
002269347 Whistler, Mailin 2.20 2022
002290005 Lasker, Harun 4.39 2021
002293778 Mellie, Huberto 2.20 2019
002311115 Turansky, Warren 3.74 2022
002313579 Mirando, Zachery 1.63 2021
002356440 Stovel, Francisco 0.47 2020
002371601 Zetina, Oddvar 4.26 2020
002391480 Maita, Bienbenida 0.19 2021
002394816 Bouma, Pearl 2.91 2020
002403866 Rainie, Bakary 3.73 2018
002407171 Sargetakis, Samiya 2.94 2020
002411252 Stentzel, Lanette 3.28 2019
002438388 Manbeck, Ignazio 1.28 2020
002445323 Harden, Emmy 1.54 2019
002460641 Heizman, Naike 0.82 2021
002461508 Torres, Marinus 2.31 2022
002463418 Irie, Zenaide 4.86 2022
002469041 Broers, Mouaad 3.34 2021
002472140 Medino, Caterina 3.96 2021
002503072 Petr, Nabeela 3.39 2022
002503541 Tofanelli, Gennadiy 2.33 2022
002506629 Fehringer, Clayton 4.15 2019
002517298 Lefleur, Costantin 4.03 2021
002524661 Pfaff, Clemmie 2.11 2018
002531612 Statham, Voro 4.27 2021
002542617 Vizzini, Teodosia 3.88 2019
002545042 Riggio, Heraclia 2.93 2021
002553348 Hayden, Asmat 3.33 2018
002583883 Maddix, Charkaoui 3.45 2019
002584003 Mule, Donia 1.81 2022
002587635 Destefanis, Huilin 0.18 2019
002592006 Uhles, Yan 3.17 2022
002593739 Johansing, Ramatoulaye 4.85 2020
002611574 Lindeen, Albertha 1.51 2020
002622841 Halmes, Farrah 1.80 2020
002632453 Derbacher, Ticu 2.76 2018
002633058 Surwillo, Liliam 1.50 2022
002634544 Lavanchy, Claro 4.39 2021
002655294 Eberlein, Ou 3.25 2018
002669734 Conely, Adelino 0.33 2019
002674534 Peshek, Evelio 3.23 2022
002684200 Swearinger, Haiguang 2.90 2021
002685602 Flosi, Boughaleb 2.51 2019
002687321 Kulesa, Fernande 2.25 2020
002701647 Alton, Diedre 1.36 2022
002738160 Paz, Aboubaker 2.36 2018
002746075 Berey, Placidia 3.23 2022
002756703 Claar, Arcilia 4.71 2022
002765652 Hoppenrath, Marey 1.86 2020
002768428 Diltz, Idania 4.83 2022
002780261 Kosek, Amagoya 0.09 2019
002784290 Taberski, Prospera 2.10 2022
002785911 Jointer, Ivor 1.62 2022
002793835 Bendig, Ruht 1.07 2019
002799186 Petts, Rica 1.89 2018
002801316 Odriscoll, Wenhui 3.70 2022
002803675 Rengers, Aliuska 4.85 2020
002813646 Subasic, Andresa 4.22 2020
002836042 Wickline, Brandon 0.95 2021
002845624 Marchell, Arsela 0.77 2022
002850841 Koffler, Philomena 2.53 2022
002852969 Lucca, Mircea 1.28 2022
002853623 Saggione, Samyra 0.74 2018
002854510 Manners, Jerico 2.30 2020
002855109 Broomfield, Aquiles 2.95 2020
002864610 Rahl, Yuliet 4.29 2020
002865655 Crotwell, Melvina 4.92 2022
002878229 Mckahan, Aproniano 4.45 2020
002883194 Hupka, Aldara 0.55 2021
002884762 Danz, Tarra 3.88 2018
002885615 Scheidel, Fethi 2.12 2019
002896721 Santana, Gennady 0.99 2020
002906201 Pulvermacher, Yifeng 1.22 2021
002907065 Shaikh, Ladislao 2.81 2020
002910956 Meacham, Abdelmayid 0.97 2020
002925912 Raz, Atidzhe 2.83 2018
002935172 Degonia, Wessal 1.75 2022
002941971 Filippi, Alfonso 2.16 2018
002949909 Promisco, Ulpiano 2.79 2022
002965315 Butman, Virgen 1.58 2021
002987313 Foxworthy, Denis 2.68 2020
002997740 Onorati, Castillo 2.75 2019
003015533 Derenzis, Xiaowu 2.97 2019
003021762 Rosemond, Slobodan 1.74 2019
003022514 Haggerty, Muneeb 1.12 2019
003024042 Ohlendorf, Ruthe 3.53 2022
003025091 Chicca, Bradly 1.13 2019
003079750 Silmon, Zineb 2.10 2020
003083975 Justen, Benjamina 2.32 2021
003087666 Taddeo, Giedrius 4.98 2020
003099454 Mcintosh, Cornelia 3.75 2022
003131742 Sandovar, Reagan 1.12 2019
003134329 Wonders, Lorand 1.87 2019
003137659 Stallins, Gocha 2.63 2021
003149476 Antronica, Nasly 2.25 2020
003157903 Elwick, Sharri 3.93 2022
003161076 Nasaire, Jeronima 3.32 2019
003162959 Herlihy, Christal 2.74 2021
003164400 Schlicker, Helios 0.03 2022
003186287 Weld, Etelvina 1.59 2022
003187393 Cosenza, Fousseni 1.56 2021
003194391 Gramham, Nedra 1.89 2018
003198000 Stoppkotte, Aurelijus 0.70 2020
003208312 Todeschi, Monalisa 0.54 2019
003219220 Ballmann, Liguang 2.14 2019
003235333 Tuer, Arianny 4.08 2020
003239280 Fielder, Karolyn 2.08 2022
003242980 Bellotti, Miledys 2.40 2021
003246650 Jellis, Mishel 2.88 2021
003250187 Brandenberg, Romaisaa 4.23 2019
003262436 Byrn, Airong 2.18 2018
003264703 Sapara, Zeltia 4.60 2018
003269823 Brankovich, Inar 1.08 2021
003278248 Bristow, Yvon 4.26 2019
003290666 Milnor, Hyusein 1.89 2020
003299063 Santino, Honorata 3.66 2019
003305948 Garnick, Comfort 1.86 2018
003307319 Casimiro, Andima 3.41 2018
003307186 Seeger, Pantaleona 4.95 2018
003325196 Kingshott, Conxita 0.77 2021
003339250 Yeiser, Domina 1.85 2018
003340704 Heath, Lisard 4.55 2019
003348189 Shum, Elitsa 3.76 2019
003368780 Nemzin, Kallie 1.34 2019
003414672 True, Meifang 0.14 2020
003419561 Zolty, Mumtaz 0.09 2021
003426944 Buccino, Muad 2.93 2022
003428059 Abuaita, Ecaterina 1.80 2020
003432488 Rylaarsdam, Helene 2.69 2019
003435410 Scroggie, Serxio 2.17 2018
003437161 Raghunandan, Bucur 1.80 2021
003461288 Mackedanz, Oliveros 3.64 2021
003468302 Walborn, Mosaab 0.41 2021
003478662 Ibey, Laban 1.73 2018
003493640 Viessman, Tahir 1.87 2019
003499317 Casivant, Lorand 3.80 2021
003509213 Carroway, Nel 4.58 2022
003518275 Kassner, Donatila 3.30 2018
003521357 Kuen, Samah 3.88 2021
003522725 Mezick, Eila 3.97 2021
003526820 Ocasio, Ventsislav 3.19 2022
003534030 Kielman, Khadouja 3.93 2020
003542273 Mcglamery, Hayar 1.48 2018
003550646 Gutschow, Niklas 4.24 2020
003578957 Razo, Kseniia 1.60 2018
003594039 Werblow, Magdalen 2.32 2018
003600514 Berbes, Zlatina 1.76 2018
003605140 Pinon, Duryodhana 1.24 2019
003608669 Peden, Saleh 4.53 2022
003610031 Hamor, Cordie 2.95 2022
003610078 Vanlaar, Rimer 3.79 2018
003613351 Gugliuzza, Luztolde 2.48 2019
003622923 Collymore, Sheree 4.29 2018
003625631 Swartzell, Candelo 3.19 2019
003625053 Stambach, Jiri 0.48 2021
003679102 Analla, Genie 0.47 2022
003680915 Conder, Licas 2.63 2021
003688876 Eychaner, Redencion 2.69 2021
003702897 Violetta, Benaouda 0.04 2019
003746333 Gamage, Mariama 3.93 2021
003755915 Johnny, Oleksiy 3.02 2022
003770419 Ashley, Kebir 4.77 2020
003805273 Smurthwaite, Katlyn 4.13 2021
003815390 Abatiell, Svetozar 1.72 2019
003816205 Scola, Zoheir 0.27 2022
003850883 Ulm, Joelma 2.12 2020
003865804 Mucklow, Ibrahim 3.61 2020
003883850 Carmickle, Philip 3.67 2021
003895429 Toups, Juanma 3.12 2018
003899969 Stover, Erna 2.77 2020
003900963 Yeater, Eldy 2.74 2021
003909621 Coombs, Sinforiano 2.86 2021
003919309 Ozier, Giorgio 3.38 2019
003927188 Gatwood, Cathaysa 1.40 2020
003928065 Handsom, Florance 2.89 2022
003930155 Panduro, Yeni 2.14 2022
003938478 Munshi, Dialla 3.67 2020
003939351 Leuze, Ibane 1.72 2022
003940136 Mackle, Nicolay 4.99 2019
003954995 Shelmon, Gero 2.52 2022
003954411 Kralicek, Maqbool 3.99 2022
003963911 Rivest, Nepomuceno 2.89 2018
003981451 Bohac, Brendan 3.80 2019
004027163 Weisgerber, Rui 0.77 2022
004029565 Runyons, Suiying 3.37 2022
004033393 Harsha, Virginidad 2.60 2021
004057122 Mieras, Dativa 0.44 2018
004060740 Igel, Muskan 0.34 2021
004061444 Thayer, Azize 1.42 2019
004087513 Mccotter, Shonna 2.96 2022
004088272 Gebhardt, Leoma 3.65 2021
004099865 Dedeke, Suli 2.38 2020
004107202 Kausch, Yutong 0.96 2019
004149862 Bhairo, Lucinio 3.15 2018
004163659 Chalifour, Mena 3.49 2022
004169899 Shanholtz, Chunmei 3.75 2020
004182480 Gasner, Cinzia 2.62 2019
004202568 Pospisil, Heide 3.06 2020
004206646 Deltora, Shahin 4.21 2020
004217142 Manus, Jabier 3.58 2019
004234693 Mundwiller, Guilherme 2.89 2018
004238288 Cardiel, Pierino 4.21 2018
004247156 Hiles, Adriel 0.40 2021
004283096 Fenrich, Agueda 0.17 2021
004293393 Burgen, Snezha 1.71 2019
004293663 Parda, Simion 4.84 2020
004301247 Chinetti, Zhijian 1.75 2022
004324814 Shones, Afnan 1.60 2018
004326894 Haymes, Ricard 3.78 2020
004333179 Urena, Omeima 4.62 2018
004333430 Rosario, Petras 0.23 2018
004350126 Rieffer, Audrey 0.15 2020
004370813 Helgason, Nazira 0.96 2019
004413762 Jurist, Ez 4.13 2021
004414374 Scherler, Mitkov 1.23 2020
004425307 Ruck, Cuiying 2.29 2022
004430158 Budzynski, Juana 4.41 2018
004444513 Wickliffe, Fadila 3.97 2022
004476036 Andreassi, Evgenia 4.85 2021
004499899 Ostiguy, Johnson 2.62 2018
004500180 Holbach, Marianita 1.20 2018
004527375 Putman, Jaafar 3.22 2019
004535767 Mcclintic, Monsef 2.79 2021
004536666 Charfauros, Firdaous 2.67 2022
004537280 Labita, Carolann 3.57 2021
004571567 Kilman, Niki 2.27 2022
004582238 Molgard, Bernadeta 1.86 2021
004598162 Sherretts, Simi 2.33 2021
004600042 Fiely, Zhiqiang 2.42 2019
004603141 Paquin, Lancelot 2.50 2019
004606036 Mccanless, Cuimei 1.53 2020
004614155 Delgatto, Uranius 4.70 2019
004617385 Mckiver, Yanameyaia 1.43 2021
004619844 Cochrane, Slyvia 4.62 2018
004633513 Trace, Souhail 4.84 2022
004634004 Stikeleather, Boualem 4.76 2020
004637977 Holsman, Mose 2.32 2018
004645350 Liszewski, Irache 3.48 2018
004651955 Bandarra, Mehmood 1.27 2021
004652484 Crouser, Marat 3.14 2018
004673848 Ziminski, Abarne 2.83 2020
004679827 Everette, Goldie 1.06 2019
004694167 Marcinko, Joannes 2.44 2022
004714033 Bhatti, Sulaima 0.06 2019
004717752 Wedlow, Romaisa 4.17 2021
004729881 Shamblin, Tatevik 4.28 2018
004733055 Tyrus, Katrine 0.22 2022
004742758 Nicholas, Delmira 0.44 2018
004750402 Spiter, Bayron 4.62 2020
004754146 Reha, Aintzane 4.07 2020
004756374 Dorinirl, Yilian 0.46 2022
004761738 Thuss, Abdellatif 4.54 2020
004763126 Jakob, Seba 1.17 2022
004772218 Pasana, Smahan 1.12 2021
004789540 Ninos, Harish 4.28 2018
004792165 Eisen, Jere 4.60 2022
004796987 Walkling, Caifen 2.79 2019
004818313 Economos, Osas 0.39 2020
004826727 Limb, Xisca 0.99 2021
004829122 Mcquire, Gert 0.38 2022
004832442 Rolle, Melita 3.03 2018
004840673 Herting, Edson 3.53 2021
004848499 Chatterjee, Liang 4.33 2021
004855683 Bideaux, Goya 4.07 2019
004869316 Brakeman, Dimitar 2.23 2021
004882899 Egbert, Lambert 4.80 2018
004885108 Zohn, Jenae 3.10 2022
004888554 Wheeington, Yiran 3.31 2020
004895361 Handwerker, Glaucia 2.59 2021
004896016 Nebesny, Florangel 0.97 2018
004903342 Hoeck, Exiquio 0.74 2020
004910447 Stremi, Aleksandras 2.12 2019
004913521 Wuest, Rosalio 1.57 2018
004933725 Sleek, Soraya 4.65 2018
004940766 Stpaul, Mussa 2.16 2021
004963239 Jahr, Charkaoui 1.34 2019
004983987 Grudzinski, Analisa 1.19 2019
004997359 Jutte, Deñe 1.23 2020
005008081 Coulbourne, Basili 4.24 2018
005023948 Tremble, Czeslaw 2.66 2021
005036670 Narro, Ione 0.97 2022
005045316 Ellingson, Abram 2.96 2018
005048184 Broten, Yuemei 1.79 2020
005051184 Mell, Tiana 3.68 2021
005082899 Knick, Henny 2.77 2021
005086311 Guedjian, Denver 3.88 2020
005122539 Schaffter, Tajuana 0.32 2019
005126159 Yeaton, Badre 4.59 2021
005144479 Bolner, Guerau 2.90 2018
005192223 Kurth, Massiel 0.16 2020
005192872 Prosch, Lanxiang 0.99 2021
005230504 Montejo, Hao 4.39 2020
005231325 Mcclucas, Richie 3.39 2021
005233314 Graver, Ottavio 4.31 2019
005235592 Stumm, Althea 3.32 2022
005238198 Simoniello, Siamak 4.71 2020
005275917 Phyfe, Myrtis 1.79 2018
005282439 Wearly, Mandica 4.44 2021
005297970 Truett, Nishan 3.41 2018
005300994 Markarian, Zviad 4.13 2020
005300961 Maclennan, Yahima 2.16 2019
005306657 Gilson, Miquela 0.62 2022
005309020 Mcbath, Eli 1.98 2020
005309296 Nickens, Peregrino 0.23 2018
005310285 Revermann, Lekisha 0.90 2020
005314223 Figueiredo, Francisc 3.47 2018
005355934 Scully, Diosdado 4.31 2019
005359749 Bailey, Gerry 3.36 2020
005360878 Service, Ambrosia 0.41 2021
005368983 Zaldivar, Kimberli 0.98 2021
005398815 Tuller, Xiaoyong 1.81 2018
005405026 Krase, Franciszek 4.38 2018
005405101 Wixted, Zeida 4.55 2021
005408175 Masterton, Nael 3.52 2019
005413255 Wiborg, Creuza 2.21 2022
005425193 Balkcom, Breogan 4.88 2019
005435159 Kilcrease, Susanna 3.86 2021
005437353 Hanrath, Yrene 3.15 2018
005442214 Dalmata, Junliang 3.84 2019
005443179 Lundholm, Yongqiang 3.45 2022
005455770 Stroll, Laiba 4.68 2021
005456756 Aylock, Maurita 0.04 2022
005462313 Heth, Laura 3.65 2020
005465732 Sagrera, Hasnia 2.41 2021
005469904 Hoes, Brenda 3.87 2018
005479915 Cedar, Geraldina 3.35 2018
005482858 Blyze, Astika 4.25 2018
005487772 Homles, Paul 4.61 2020
005488183 Santos, Anayara 0.83 2022
005499282 Kins, Rosica 1.92 2021
005520644 Diones, Wahba 0.29 2022
005527584 Ruddock, Regiane 2.21 2021
005546860 Trucks, Dolly 0.21 2021
005557945 Vargas, Sambor 1.12 2019
005577832 Touar, Saiful 1.23 2018
005591002 Naegle, Marçal 2.85 2022
005592067 High, Zuleika 0.63 2018
005601529 Wetherill, Jeanna 4.72 2019
005612106 Conkin, Franciele 2.46 2020
005620938 Net, Andeka 1.81 2022
005665062 Sieja, Yufeng 4.90 2018
005676912 Ensel, Kaci 4.79 2019
005699490 Santistevan, Vitali 3.39 2018
005699061 Suttle, Merrilee 3.75 2021
005702490 Passantino, Tasio 0.83 2022
005703287 Mascot, Siaka 0.53 2019
005713297 Chiszar, Alica 0.64 2019
005716199 Stanek, Fettah 1.06 2022
005740933 Forehand, Fiaz 0.69 2021
005754284 Clougherty, Narjes 4.14 2022
005790593 Scheuers, Arcadie 1.41 2020
005791863 Kirchgesler, Azhar 1.55 2018
005797286 Kendra, Isaak 4.24 2019
005801829 Barmore, Zhenni 3.41 2021
005806331 Ghia, Wenbo 3.44 2022
005812048 Yocham, Haihua 0.50 2021
005819856 Siedel, Layra 1.21 2020
005832451 Devotie, Jairo 4.72 2020
005858810 Gurganious, Olena 1.32 2019
005866664 Mucha, Agurtzane 4.48 2021
005875534 Jacobsen, Petrana 3.56 2020
005886276 Fatica, Paciana 2.48 2018
005898553 Trelles, Yudelkis 0.45 2019
005899447 Yutzy, Karma 0.08 2018
005905140 Stinson, Rumyanka 4.84 2022
005905536 Trapasso, Lavinia 4.56 2021
005909915 Fallago, Irenea 2.04 2022
005947711 Gertelman, Saiqa 3.21 2018
005948607 Janiszewski, Mack 1.92 2022
005964949 Kuczynski, Yemina 1.46 2020
005976407 Provent, Xuli 4.54 2020
005982524 Thorell, Ammie 2.51 2022
005996343 Pitek, Culita 2.48 2019
006020204 Leger, Hlal 0.69 2019
006029218 Siepker, Annelise 1.67 2018
006039584 Forstedt, Heidi 0.66 2019
006045522 Kalehuawehe, Jianyi 1.02 2018
006063587 Crocket, Hristina 2.41 2021
006088363 Weinheimer, Getuta 0.19 2022
006092348 Margot, Aramita 1.58 2019
006094318 Overbo, Aleh 1.07 2022
006098687 Rissman, Jinwei 3.37 2019
006103753 Abdul, Ana 3.15 2022
006107485 Jamir, Thibaut 4.36 2021
006138182 Buskey, Heinz 2.63 2019
006151578 Floria, Asparuh 4.00 2019
006159977 Hinely, Indara 3.93 2018
006251621 Regal, Leonie 2.76 2022
006278611 Rojek, Gliceria 4.26 2021
006281141 Kusterer, Donina 4.33 2019
006283187 Feria, Hamna 0.85 2020
006301162 Hilley, Hapuc 4.68 2019
006301871 Opalicki, Soralla 1.57 2018
006312270 Lytal, Sainza 0.05 2018
006322246 Edney, Ya 1.00 2022
006331264 Bringle, Kamaljit 3.38 2020
006333230 Wismer, Andriu 1.99 2019
006343561 Leduke, Kingsley 4.22 2020
006355643 Jeng, Dailos 1.90 2022
006355252 Kosuta, Chakib 0.92 2019
006368919 Perish, Siobhan 4.28 2018
006371878 Volpone, Min 1.99 2021
006379046 Crookes, Maddie 2.11 2021
006401349 Maresca, Riquelme 2.37 2018
006401023 Fitzhugh, Paul 0.51 2018
006403430 Webley, Hawa 0.84 2020
006408345 Shock, Khaddouj 0.62 2019
006427653 Cerce, Avtandil 1.90 2019
006454258 Fagg, Ilieva 1.27 2021
006461145 Wallett, Idelfonsa 4.08 2020
006475399 Swims, Diocelina 1.35 2021
006495793 Lhuillier, Oceane 2.39 2019
006505506 Lightbourne, Rigoberto 1.93 2021
006511446 Ulich, Delio 4.92 2018
006534859 Sipler, Sukaina 1.76 2021
006541452 Spickerman, Hasan 0.57 2022
006583714 Hollinger, Seny 3.53 2022
006598491 Eustace, Abdourahmane 0.40 2020
006600659 Deller, Eider 4.34 2021
