100000
354709573 Devonshire, Andoni 1.35 2020
331514690 Sandmann, Xiaojing 4.81 2021
052488483 Mecannic, Veneta 4.47 2021
597403945 Lowcks, Svetlana 2.45 2019
874036918 Eade, Zhiyi 0.72 2020
828452455 Logalbo, Siyka 2.79 2018
083701660 Mattock, Rabha 1.47 2018
507645583 Doshier, Virtudes 3.46 2018
229547597 Dragoo, Hourya 3.84 2020
050561068 Zellefrow, Eutropia 4.63 2018
185096390 Weispfenning, Epigmenio 3.38 2022
049778708 Peek, Douglas 2.25 2020
853864459 Lostroh, Shorena 3.28 2018
324922963 Mclain, Shawnda 2.31 2020
955135588 Mcglinchey, Glicerio 0.97 2020
242509394 Dusseault, Hong 1.39 2020
448769251 Hostoffer, Polo 1.36 2020
471008404 Petrov, Valvanuz 1.32 2022
269347576 Mccloe, Crisologo 3.28 2019
513912325 Gate, Xun 4.87 2019
685043432 Brumfield, Woodrow 2.89 2018
314067368 Pospisil, Houyam 4.77 2020
722716872 Holda, Sherika 1.01 2022
066894794 Gabhart, Geny 1.37 2021
300610192 Preddy, Georgette 3.39 2020
333602480 Polinski, Caron 2.16 2018
681996916 Wrobel, Cabeza 3.05 2018
319550042 Aningalan, Nouha 1.47 2022
630677651 Dilox, Dawei 1.47 2018
971130781 Godbout, Marilu 2.64 2020
904004953 Medlock, Barbera 1.03 2019
334138619 Unger, Xufen 3.95 2019
219942622 Killoren, Luara 4.67 2021
038209785 Wikel, Randee 3.64 2020
355602063 Dziuba, Su 4.53 2018
379118907 Pfalzgraf, Ravinder 2.94 2021
171656477 Glantz, Daoud 3.62 2022
522637993 Nassimi, Roosevelt 3.44 2020
406428135 Mavraganis, Shamil 4.94 2022
523241639 Jamesson, Xiuyu 3.54 2022
075567148 Schwarting, Pavlo 1.78 2019
057264644 Odens, Nixon 2.06 2022
338259592 Zicker, Blaise 0.40 2018
490871173 Konopka, Hasnaa 4.97 2021
676273954 Schweinsberg, Ilham 0.70 2021
804727741 Kridler, Ur 2.56 2019
920647175 Korzep, Houriya 2.27 2020
014097803 Kleekamp, Eiko 0.67 2019
981056373 Rainge, Houriya 4.88 2019
669487981 Krenik, Elliot 4.99 2021
014620967 Taybron, Ouahid 0.02 2018
435517986 Stanard, Constanze 1.06 2021
530501967 Hildebrand, Anil 0.72 2019
165267513 Oldroyd, Wisal 2.66 2021
227773817 Kohlhepp, Avilio 1.48 2019
690398164 Poon, Danita 4.54 2022
454219198 Meckes, Liling 4.95 2019
598078072 Evoy, Heroina 0.52 2018
696316086 Przybycien, Mikalai 4.44 2021
216233811 Smolski, Jinyan 3.41 2020
912297936 Cardonia, Elizbeth 0.86 2020
419641619 Villaire, Berardo 2.20 2019
744352459 Seryak, Aurelien 2.34 2019
606384909 Hurt, Erondina 1.11 2020
936500135 Pagani, Gospodin 3.55 2020
636500828 Rowcliffe, Zaka 2.29 2019
938883695 Vuono, Argeo 3.28 2022
586243021 Ohnstad, Fouzia 2.42 2020
231009451 Arce, Boguslaw 0.45 2022
915919585 Calderin, Shenghua 1.85 2018
794233741 Abeta, Dessire 0.71 2018
672666564 Vitagliano, Tanit 3.37 2020
660191914 Torno, Eladino 3.83 2021
815494949 Kuss, Angelika 4.73 2018
551837393 Zender, Rumaisa 2.30 2018
463248075 Adkin, Abida 2.03 2018
523362554 Lourenco, Alishia 3.70 2020
322468146 Holverson, Ibtihal 3.68 2020
713522930 Seang, Stanislas 0.30 2019
364169558 Baskins, Guoguang 1.38 2021
520194732 Kristan, Margarite 2.61 2020
873749459 Johansen, Cassy 4.06 2019
729810209 Gloff, Chere 1.91 2021
575959665 Kawamoto, Luzmila 4.38 2020
776770509 Thalls, Arnelio 2.58 2018
310392329 Longhurst, Magalis 4.48 2018
893421456 Sowards, Natale 1.96 2018
866914857 Len, Rachid 1.38 2019
581714302 Escobar, Idrissa 4.50 2019
319670273 Orvin, Meirong 1.97 2021
071541148 Plante, Quintin 2.90 2022
226257008 Thierauf, Immacolata 3.34 2020
694489318 Dellamora, Irinea 1.60 2018
127277202 Bohac, Aniko 0.56 2018
600355854 Leyba, Rongguang 2.79 2018
689441513 Mcmenimen, Khaldia 4.05 2022
150954212 Bertone, Arritokieta 0.55 2020
176269330 Raif, Exie 0.06 2021
937455900 Royer, Dorsey 2.12 2022
135983407 Labreque, Pelagia 2.91 2021
270737995 Vajda, Ike 2.41 2020
963147764 Landor, Yaima 2.88 2018
610969142 Shingledecker, Vicki 3.05 2022
617440953 Yeisley, Xianmin 3.59 2018
447175584 Klitzing, Amandeep 4.80 2022
473014989 Brummell, Yunia 4.33 2021
727844569 Holroyd, Tabetha 1.87 2018
982261607 Deters, Beato 2.68 2018
249341548 Diebold, Leisy 2.33 2021
031665269 Kunimitsu, Avilia 2.38 2020
720553243 Birchall, Petrisor 0.64 2018
438131586 Hanle, Alpidio 0.33 2022
766519054 Spilman, Aithana 3.78 2021
247687575 Stinett, Daylos 0.46 2018
718168211 Fiscal, Amy 3.29 2020
362747257 Kenner, Fayçal 3.63 2018
596792598 Thrope, Rosell 2.48 2022
948740448 Philbrick, Corrine 1.83 2022
330104336 Yoshi, Aleks 3.71 2022
298075500 Joosten, Stephani 0.99 2021
314429029 Maner, Sheree 4.82 2020
871672582 Wissing, Basmala 1.56 2018
007637877 Kvam, Agua 0.01 2019
884324643 Sartori, Guiayara 4.14 2020
577651789 Sieloff, Gergely 1.96 2018
058503565 Dalbeck, Weiying 1.62 2020
769204874 Greis, Lorand 3.51 2021
838671180 Menger, Videlina 1.83 2019
316391648 Imeson, Valeriana 0.66 2022
389117042 Barsky, Edik 1.75 2020
213958010 Steinhoff, Manale 4.78 2021
209731278 Falsetti, Gaylord 1.94 2018
512762404 Branscomb, Ferreol 1.22 2018
961679160 Devall, Yalile 3.30 2021
489044873 Danielsen, Rex 0.77 2020
839515748 Odebralski, Loyd 1.25 2021
835831269 Scipione, Tareixa 3.84 2022
377644168 Adinolfi, Enol 4.58 2022
198289495 Vanartsdalen, Boumedien 2.90 2021
505696371 Bossi, Gala 4.27 2021
483696517 Tison, Cheik 3.69 2020
582451434 Hartling, Bogna 0.73 2020
156789208 Manderson, Irea 4.99 2021
329877859 Carman, Aichetou 4.64 2021
347981442 Butterbaugh, Micaela 0.72 2019
183777655 Gulston, Alhagi 2.23 2020
748685396 Summerson, Petro 2.67 2020
927859533 Mcdermott, Maghnia 4.70 2021
791399175 Daniels, Maxie 1.21 2021
573777914 Tetz, Herculina 0.15 2022
624029999 Hoak, Anelis 2.57 2020
976348718 Italia, Jenniffer 0.49 2021
852194764 Boisselle, Nayem 1.20 2020
551893793 Borge, Intisar 2.13 2021
387398097 Morrissey, Youssoupha 4.11 2020
137278270 Lyles, Inesa 1.13 2021
352698824 Tomson, Minel 4.90 2019
008781077 Stanifer, Carisa 1.69 2020
759680940 Zuckerwar, Oprea 0.67 2022
138596667 Cobler, Xochitl 3.09 2019
096378290 Oconner, Raidel 1.53 2019
469099054 Chirinos, Robertina 4.21 2018
311572804 Cittadino, Landing 3.80 2021
312663597 Sopha, Xiaodong 1.05 2020
435028869 Lafoe, Aithamy 4.46 2019
484637025 Miggins, Nazareth 0.93 2020
548226359 Downer, Kacey 0.10 2022
010021588 Vassil, Jasper 3.38 2022
121486153 Autin, Exiquia 3.61 2020
676883096 Moxey, Layachi 3.06 2022
815403144 Vaccarino, Elisha 4.49 2021
848450494 Heinlen, Xianli 1.17 2022
757143971 Steppello, Hamada 0.04 2018
196047792 Vandergraph, Shala 0.58 2019
950188313 Campion, Afia 1.78 2021
356276332 Briehl, Christoper 0.67 2021
555951955 Schildgen, Agapito 0.81 2021
807623597 Boutet, Antonetta 0.72 2021
083737728 Starcevich, Nazim 4.78 2018
941859085 Deleo, Olene 4.74 2020
472541259 Falci, Kingsley 2.24 2022
480953360 Hayhoe, Iskander 3.54 2020
876771352 Gores, Jiajie 2.44 2021
162801753 Zumstein, Chiquita 4.32 2021
821230646 Hott, Assumpcio 1.29 2020
247495199 Driscoll, Breanne 1.79 2020
208043313 Watte, Anthonia 0.17 2021
085776490 Stuever, Sofka 1.46 2020
052724064 Billigmeier, Roberth 1.80 2022
067968877 Schissel, Ieva 4.65 2020
475444237 Wendell, Messoud 1.73 2018
445365658 Hovnanian, Marilina 0.71 2022
462879746 Bainard, Hermesindo 1.11 2018
471393789 Salter, Romaine 4.12 2019
946204049 Graban, Carroll 3.21 2019
557044049 Zumstein, Nuala 0.60 2021
410849793 Krejsa, Yahir 2.02 2020
336003183 Nieman, Honorata 0.14 2020
445217544 Kroft, Rosabel 3.82 2021
611444430 Sgrignoli, Shuai 1.96 2020
567374753 Levings, Onur 0.72 2021
303442668 Rupp, Elmer 4.37 2021
047550788 Goepfert, Eresvita 1.52 2021
098416913 Zwinger, Zine 4.75 2019
078865611 Broadwell, Ambarisha 3.10 2021
151651084 Roseth, Hosea 4.43 2022
187820141 Devore, Erudina 3.15 2021
532128521 Fitzwater, Noam 4.26 2019
357079741 Beckwith, Balvina 4.76 2022
219210150 Bavier, Azouz 4.01 2018
576843232 Szarek, Anju 3.91 2022
649137820 Hulick, Imar 2.54 2018
827625517 Trajillo, Radouan 3.85 2018
290572062 Stakem, Lasha 0.82 2022
221725874 Patel, Elisabeth 0.03 2022
098878468 Tadesse, Covadonga 4.79 2018
205589881 Ty, Sulamita 1.09 2019
834616851 Bueckers, Pieternella 2.71 2018
782096350 Mycroft, Qianqian 0.91 2018
193792473 Taggert, Sani 4.84 2019
662991163 Fain, Suzette 2.38 2020
746995297 Caneer, Yankhoba 3.34 2019
784641990 Vessel, Bittor 3.01 2020
730026692 Hanmer, Isidre 2.64 2022
877694604 Rees, Abdelmoughit 1.47 2019
172688950 Kinlock, Zaineb 2.12 2019
063414415 Senior, Destiny 2.43 2018
037265239 Devich, Prisco 0.70 2021
762812896 Metil, Ryad 3.90 2021
598439740 Clare, Gratiniano 3.57 2022
867935723 Shertzer, Massimiliano 1.52 2022
383896776 Bookman, Valdemar 0.08 2019
431153112 Jacobo, Hawa 2.40 2018
180986882 Robledo, Hartmut 4.47 2022
024936544 Twaddle, Ayachi 1.40 2019
566758779 Sottosanti, Alanis 4.79 2018
695958092 Nuzzo, Madelyn 4.65 2019
818418115 Napihaa, Margy 2.38 2018
565230638 Grumbling, Rui 3.06 2020
064337904 Bettle, Agnus 2.23 2021
929109783 Stavis, Lisette 1.06 2019
248398003 Mengle, Dalida 1.58 2018
559083081 Peiffer, Clyde 3.46 2021
154053451 Iachetta, Genova 0.13 2020
503685872 Kappler, Tonya 2.51 2021
836174117 Proudfoot, Marek 2.93 2019
579205142 Bell, Ioritz 0.77 2020
504504646 Rizzo, Catharine 3.87 2018
572859874 Newbound, Maryvonne 2.28 2021
283762581 Tamblyn, Edilma 1.07 2020
324415456 Derga, Dejan 4.20 2021
124612835 Esworthy, Ayman 0.49 2019
428657988 Valeriani, Hrafn 0.93 2020
477442546 Penington, Finnian 2.22 2020
341003235 Hainds, L 3.46 2021
768169967 Loughnan, San 3.98 2018
553995168 Naki, Telesforo 3.95 2019
854071723 Muggeo, Atsuko 3.04 2019
354218555 Glessing, Yackeline 1.54 2020
957894181 Frasch, Milos 3.55 2018
625466047 Marn, Lavera 4.24 2019
597944037 Leps, Marceliano 0.07 2022
553469986 Picken, Evans 1.31 2021
074964925 Wahl, Wava 4.34 2020
758229472 Keuler, Severina 4.42 2021
453137890 Bernieri, Fattoum 1.33 2019
310255325 Marcelynas, Elmira 2.10 2018
838172475 Bradstreet, Hapuc 1.99 2020
062462567 Siebel, Soufia 3.36 2020
138019420 Malicote, Rachelle 0.46 2019
233280964 Kuchar, Myriam 1.71 2020
408125125 Eubank, Hasier 0.08 2022
297615087 Spanski, Bel 1.73 2021
018591989 Finnen, Xianyong 0.25 2020
010624875 Lallo, Quim 1.75 2021
008502584 Cyree, Lisha 0.73 2018
957197427 Heater, Yzan 2.56 2020
061128306 Zalamea, Nathanael 1.46 2021
157893665 Poquette, Lia 1.09 2022
706385046 Sitter, Sibyl 1.20 2021
835276338 Strayer, Filipa 0.76 2018
053040584 Steep, Yuying 3.33 2021
197980220 Hackett, Ahmad 1.67 2021
525048753 English, Meryem 0.29 2021
891968782 Swearegene, Weidong 3.77 2021
534059967 Giddings, Nati 1.26 2021
532113427 Carsey, Emiliya 4.70 2020
597239821 Wicketts, Brittanie 0.38 2020
504750755 Ghosh, Casta 0.51 2018
450708641 Zenisek, Marcial 2.49 2020
068627644 Valdo, Crispina 2.64 2021
758684654 Blender, Cyrstal 1.91 2020
676639011 Fars, Columbiana 1.55 2019
978964158 Swayne, Yosif 3.94 2019
854599921 Wiesel, Ilhem 2.55 2022
045188829 Howden, Damiano 3.52 2018
278738652 Albea, Lusia 0.26 2022
876634629 Ajani, Ferne 1.78 2020
742800972 Dorney, Lakbir 1.39 2020
311860217 Holzem, Almeta 1.81 2022
938342231 Pahk, Guanjun 2.87 2022
729712773 Difalco, Anca 0.12 2019
492498464 Hurney, Yanka 1.19 2020
462160073 Schoepflin, Hellen 0.99 2022
628156823 Voelkerding, Liwen 4.32 2019
579229525 Schneckloth, Lucidio 1.39 2022
198276067 Kalkman, Modestas 4.10 2018
063474750 Lanclos, Miruna 2.84 2020
101798886 Life, Umaru 2.10 2020
287279269 Legier, Singh 3.51 2020
082941619 Ennals, Alexsander 1.87 2021
082853367 Senter, Ayah 3.45 2022
233324646 Donnellon, Rodica 1.46 2022
792220461 Kallfelz, Shaheen 3.71 2018
257214600 Labella, Gintautas 3.58 2019
777570130 Dantuono, Nikole 3.31 2022
078471962 Hosang, Gladiz 2.93 2020
861251180 Lorelli, Amabel 1.09 2021
480342745 Purwin, Oleksii 2.29 2021
756170426 Gunyon, Amor 2.62 2020
133455113 Valtierra, Tameka 1.33 2022
937129545 Masoud, Marti 4.68 2019
830291163 Kossak, Roshan 2.58 2021
490072403 Geris, Sinead 3.86 2021
068416442 Jakubowski, Bentor 0.26 2022
436257323 Akiereisen, Balwant 0.38 2019
193686882 Lyken, Guaxara 0.05 2020
619618946 Mostafavi, Britteny 3.52 2022
333953231 Mccandlish, Policarpio 1.55 2021
715954253 Lapointe, Nalaya 4.62 2018
124056460 Alvino, Dorethea 2.31 2019
934263090 Johanek, Oto 4.56 2019
333928420 Haak, Yiying 1.10 2021
874167647 Boswell, Luke 4.04 2021
410872556 Schiver, Borgia 2.42 2019
324447751 Escobar, Liceth 1.05 2021
312388497 Schumm, Jadwiga 0.12 2019
432473490 Mirelez, Zviadi 4.30 2020
998653377 Threet, Encarna 1.14 2018
624965518 Hauth, Fatoumata 0.62 2019
088678559 Ryner, Touda 0.08 2020
524800319 Rought, Kylian 2.80 2019
919303811 Sanden, Anush 3.15 2020
957480187 Ebadi, Karmen 4.79 2022
796318108 Beirne, Pervaiz 4.37 2018
249720976 Faust, Robt 2.95 2021
000575452 Nothstine, Clarine 4.98 2019
496793496 Pellerito, Eneritz 1.43 2018
869190051 Boscarino, Collene 1.14 2021
844332654 Berliew, Krysta 4.42 2019
292294147 Carmain, Yijie 3.28 2020
824656948 Start, Maylin 2.45 2022
225795561 Ganes, Aurina 3.71 2022
678363778 Nordstrom, Mykhailo 1.45 2018
320218339 Kekua, Lorien 1.91 2019
288809134 Dukes, Lyubomir 3.82 2019
400698399 Severin, Amagoia 3.49 2019
909216039 Herzberg, Scott 2.19 2022
886872493 Falci, Damion 4.34 2018
583357146 Tangabekyan, Azeddin 3.51 2020
617138132 Grissinger, Laila 4.75 2020
178210034 Vidrine, Enaitz 0.03 2021
430441047 Comley, Yiming 4.99 2022
864990819 Easterbrook, Parvoleta 1.71 2020
561814987 Woolman, Kaneez 0.88 2020
740080295 Workowski, Rosana 3.12 2019
142817336 Beightol, Wioleta 3.28 2020
509259810 Szklarski, Claudete 0.74 2020
841275561 Detrick, Ikhlef 3.69 2021
433869346 Holste, Ethel 0.96 2021
453051291 Bassage, Monico 3.37 2019
165941287 Fontenette, Milko 0.57 2020
511583658 Spinosa, Aristide 4.77 2021
045987953 Netters, Elise 1.98 2019
673110344 Buhrman, Caridad 0.11 2020
769207587 Detemple, Iacov 3.73 2019
469790361 Kluz, Goran 1.88 2022
869079316 Darland, Shumaila 3.30 2021
882157296 Liskai, Wieslawa 3.05 2022
709733394 Pulham, Dennise 1.34 2022
615211919 Rendino, Izar 3.02 2020
352664976 Uyeno, Tawfik 3.70 2020
429056549 Pfarr, Huber 4.99 2022
108621747 Lundrigan, Emmaline 4.75 2020
182911028 Fentress, Els 2.12 2021
476990535 Deweese, Yihui 2.62 2019
111427188 Donten, Vinita 0.04 2022
915188232 Perkowski, Iosune 4.81 2018
194197698 Stanford, Rimas 2.05 2018
684303915 Schnake, Carrie 2.77 2019
331360198 Johansson, Sandu 3.30 2022
106039887 Pree, Anush 3.34 2022
726981989 Sewester, Stanley 4.04 2019
030317240 Picado, Lingyong 0.13 2018
637665004 Chruch, Jorge 4.60 2018
175493620 Sterkel, Zidane 3.45 2018
818794607 Calabrese, Blau 1.73 2018
933533963 Vanhulle, Louay 4.79 2022
923473861 Fuson, Gracinda 3.03 2022
463283787 Villecus, Mauricio 2.62 2021
417017843 Zwahlen, Talib 3.53 2021
180447372 Mcgregor, Jese 1.89 2022
972760761 Brisco, Ivanilda 1.98 2020
410243798 Shaheen, Helenio 4.36 2020
335496394 Tenzer, Marianela 3.35 2019
082843675 Braasch, Azzeddine 1.23 2020
714386856 Letsinger, Callie 0.30 2021
913680242 Mesina, Junping 1.13 2019
081392342 Firpo, Malik 2.28 2020
233331457 Kleiman, Albert 4.76 2018
517989593 Radunz, Naila 0.77 2019
095558069 Vanorder, Hanibal 2.72 2019
505586001 Pazan, Plautila 2.52 2019
437388093 Bovey, Izarra 4.95 2019
540651008 Allenbrand, Zhuying 0.03 2020
337331526 Bonino, Johnson 0.80 2022
139762112 Millhouse, Karla 4.63 2022
028126716 Gignac, Alexe 2.48 2018
090717761 Hannaford, Maricela 1.70 2021
469713828 Micale, Zinab 1.96 2018
897147279 Robb, Enache 4.72 2020
256280704 Curless, Melissia 0.29 2022
401977743 Parkison, Edmar 0.02 2021
502172793 Quaile, Ari 2.22 2019
729484567 Echevaria, Fathallah 0.52 2019
845674377 Laramee, Zaida 0.93 2018
297089486 Santmyer, Lamberto 0.61 2022
284704682 Sofia, Fang 2.55 2022
555870494 Lykes, Aurita 2.96 2020
092757160 Comfort, Ivar 2.52 2020
368162874 Saragosa, Miller 2.97 2020
289131420 Vanallen, Sharolyn 0.37 2020
070654999 Ageboi, Fode 4.15 2019
675861845 Claybaugh, Andry 3.38 2021
105063305 Fallert, Abdenasser 0.91 2021
107031791 Epp, Perfecto 3.01 2021
029916735 Mork, Elicio 2.83 2020
013732774 Munk, Jeanmarie 3.09 2021
995147770 Makanani, He 2.11 2022
542469906 Saras, Petronila 4.53 2021
487713429 Tickle, Liuva 4.58 2019
034244721 Charter, Huda 2.58 2020
063187370 Borgella, Aina 1.75 2021
086326818 Erlanger, Amandio 2.67 2019
744326228 Ito, Tama 1.65 2021
114546280 Spudis, Nydia 3.02 2018
719028432 Cominski, Inazio 2.61 2018
543971394 Garbacz, Jianbo 2.96 2020
451502528 Greiner, Nelva 0.46 2021
002910412 Braegelmann, Shayan 2.68 2022
500390805 Koerner, Diandra 4.63 2018
475219285 Chalifour, Felipa 2.27 2020
324593592 Kaus, Ehtisham 4.75 2021
063781503 Manzone, Idoia 3.19 2018
230018622 Malakowsky, Navneet 1.87 2020
046038270 Pyeatt, Katia 3.64 2020
856656855 Wassam, Collette 2.63 2019
323327872 Secrest, Ettore 0.35 2022
132647091 Mccoin, Gica 2.32 2021
900670032 Boumthavee, Abdoul 4.40 2022
965586001 Mullenaux, Flo 3.02 2021
585926741 Luckadoo, Vira 1.58 2021
454997505 Neiper, Jasone 3.34 2019
232266582 Wickkiser, Mathis 3.99 2020
346209303 Kafton, Turid 4.24 2019
874185991 Lunemann, Pearly 0.91 2022
961664927 Suprenant, Clifton 0.19 2021
798013831 Choe, Cheikhouna 2.26 2018
333981974 Du, Arume 2.16 2018
481229695 Turns, Medina 3.57 2021
159672939 Stoecklin, Esha 4.47 2018
010459058 Dahms, Frederique 3.65 2022
713905433 Hesse, Rosel 4.58 2021
994884590 Getz, Catarina 1.00 2018
477803254 Crisalli, Erlene 1.39 2022
777734595 Falto, Askoa 1.44 2020
230085429 Alanko, Izaga 0.42 2018
274556813 Emoto, Jounaida 2.89 2021
155248639 Miera, Assitan 1.05 2019
519543275 Mellos, Soufyane 0.49 2020
123024511 Tippery, Sardar 3.91 2020
900004970 Bitton, Dris 1.20 2022
584105422 Lizarda, Enea 3.53 2020
710139380 Ryther, Aurelie 0.62 2021
250111896 Marxsen, Badi 2.67 2018
314686278 Siriani, Leland 1.88 2019
780107996 Corkran, Jonatan 0.85 2022
883767762 Schieferstein, Ethyl 1.50 2021
237847965 Heinzman, Lau 2.86 2021
253630159 Israels, Sandalio 2.69 2022
492989128 Kleypas, Jolyn 0.59 2019
070409669 Mccumbee, Barrie 3.34 2020
879827439 Hagley, Lamberto 0.05 2019
964042350 Kitchel, Rusi 1.11 2019
195875919 Fowlar, Mica 1.48 2021
758340218 Poehler, Lijana 1.27 2021
528546746 Samora, Venecia 1.20 2021
338714543 Peckinpaugh, Ayelen 3.84 2021
715843500 Conger, Guido 0.46 2018
916279697 Lenhart, Clint 4.20 2020
750690932 Shackle, Guoying 0.68 2018
175738305 Overholtzer, Abdelkbir 4.48 2019
592765314 Blachly, Elfriede 2.87 2022
534186675 Jestes, Elizete 2.20 2020
124972221 Niziol, Mimuna 2.15 2020
050935380 Harness, Jemaa 3.26 2020
505715604 Forsmann, Ava 4.26 2020
145084345 Molano, Hongying 4.37 2021
798913121 Gahagan, Aylen 3.08 2019
897278287 Mcmains, Katrien 2.39 2020
621061700 Diruzzo, Consejo 1.58 2020
848169846 Feener, Davor 1.65 2021
307634720 Cutaia, Atasara 4.41 2020
080404685 Ponti, Maisa 2.74 2018
732171373 Teslow, Katheleen 0.20 2019
603203309 Beckwith, Yumara 2.05 2019
838635652 Beuttel, Xuyi 0.27 2019
696744420 Hailstock, Shuping 1.71 2018
138860897 Vigueras, Mrabih 0.21 2020
239516848 Daleus, Shuqin 2.59 2022
407419633 Mamer, Mendia 0.58 2019
771414137 Rishel, Ixeia 4.20 2021
415781036 Malanga, Rubialejos 0.83 2019
206999395 Fults, Kenji 0.23 2018
232362379 Sirrine, Feliks 3.73 2020
129105754 Desiderio, Senaida 2.35 2022
420478569 Teall, Lan 1.28 2020
542490226 Quarles, Mabrouk 0.54 2020
749247426 Balling, Edmundas 1.84 2021
531766360 Gaffney, Carriona 1.32 2022
078246041 Beres, Bashir 3.83 2018
733027818 Watry, Monsef 0.16 2019
469210815 Schwery, Eduvijis 2.70 2018
091055641 Mcdugle, Jinguo 1.99 2020
215538166 Renouf, Thibault 1.51 2020
035992042 Viloria, Benyoussef 0.95 2022
457249130 Looft, Victorian 4.77 2018
997780843 Quire, Qiuyun 2.80 2021
441591135 Gilton, Fausti 2.70 2019
891822713 Nokes, Sasa 0.07 2018
505264808 Brehaut, Anina 0.51 2022
044356263 Hady, Arcadi 1.08 2018
729018600 Mesa, Bangally 3.37 2019
565796956 Luttman, Ailin 2.08 2018
864999622 Darmiento, Jacinda 2.90 2020
003174467 Beebe, Sinay 0.22 2022
233086707 Redo, Shahbaz 0.06 2022
263142107 Schegetz, Dwayne 0.21 2021
984919329 Cheers, Ubaldo 0.88 2021
510935682 Carrington, Jones 2.15 2022
525589878 Mattoon, Rodaina 2.25 2019
175077590 Honsberger, Zenobio 0.20 2020
630589663 Jarchow, Karri 1.33 2020
548971358 Matuska, Mimunt 4.92 2022
323758672 Waldram, Rossend 2.30 2019
857112665 Losecco, Kenisha 1.31 2021
455331098 Sylvest, Edel 3.35 2018
760433530 Dupaty, Senen 3.20 2020
410438536 Heidmann, Shaoqin 3.76 2022
121796337 Gillies, Marsel 4.64 2018
201039558 Westhouse, Vassil 4.40 2021
623444617 Peggs, Arnoldas 4.50 2020
507502372 Phippin, Ramiz 0.91 2018
200222419 Yeast, Yasin 4.86 2021
562513520 Schlicht, Jiafu 3.44 2022
076656395 Boley, Chan 1.52 2022
107923069 Legner, Haleema 1.85 2020
214653094 Puita, Guery 1.96 2020
367237969 Barkes, Rasa 2.35 2022
507499400 Hawkin, Martyn 0.84 2019
658992809 Lukow, Mariña 1.73 2018
650305685 Henze, Ludie 4.89 2019
982892923 Sinkiewicz, Wangjun 3.99 2019
588307649 Pellett, Chahid 0.39 2019
188958502 Garriss, Bonifacio 4.81 2020
430922820 Pratka, Espen 4.38 2021
965817327 Kilborne, Hira 4.47 2021
269844253 Orsini, Esau 2.63 2020
494539455 Lazzeri, Theron 4.76 2022
232081001 Strzelecki, Lamine 2.21 2021
