100000
852415188 Landavazo, Huiying 0.05 2020
078507933 Benthusen, Roseanna 4.73 2020
343489250 Espy, Ioachim 4.15 2018
248907632 Dassow, Bess 3.43 2018
065979526 Ranieri, Silmara 1.27 2022
773110058 Betker, Odina 0.60 2019
928933168 Lamanna, Alaksmi 3.64 2019
467381152 Loge, Mercy 0.57 2018
339430584 Steenland, Ihor 2.25 2021
927755901 Shaheen, Lecia 2.34 2019
362571971 Hulstrand, Arley 4.20 2018
882602480 Morini, Aquiles 0.47 2021
120961041 Bramel, Tulio 4.12 2022
319432319 Remsen, Virginijus 2.19 2020
216690100 Stolarik, Danyelle 3.20 2019
578680572 Colorado, Zuzana 0.97 2020
186631750 Abatiell, Iulica 2.79 2019
024527443 Brus, Jesper 2.58 2020
865225461 Herklotz, Teodolinda 0.47 2018
617930491 Lorello, Jinhui 1.39 2022
259679165 Buist, Warren 1.84 2022
299651266 Rodamis, Orhan 4.67 2020
638946533 Rodrequez, Otger 3.32 2020
657325135 Fragman, Darryl 0.57 2020
330849101 Huckins, Leigha 3.49 2019
247773129 Harkrader, Ibtisam 3.49 2020
745232595 Wacht, Claudemir 2.22 2019
346098056 Parilla, Guasimara 4.45 2020
104014238 Carbonara, Candie 4.31 2022
749624965 Verna, Iana 2.56 2022
035624873 Wohner, Chere 3.41 2021
968806476 Sporer, Eurico 3.97 2022
367570642 Wengel, Nataraja 2.91 2018
822692082 Prahl, Eliberta 4.83 2021
445803568 Wineinger, Allan 3.93 2019
635934135 Draeger, Mofaddal 0.71 2019
017067292 Dragovich, Nedelcho 1.82 2020
915507441 Talk, Lucelly 3.31 2018
657060822 Mcspirit, Elide 2.45 2022
118949365 Tinneberg, Rito 4.91 2019
769909802 Argenal, Stephania 2.51 2018
479095681 Savitsky, Souad 3.42 2021
762265023 Flenord, Maisa 0.42 2018
015042567 Culhane, Aymee 2.22 2018
155186690 Pfieffer, Eulogia 4.84 2020
185164919 Senko, Quincy 0.15 2018
567948839 Wittenmyer, Zoel 3.26 2021
822229966 Reyers, Houda 2.28 2019
672189046 Nestingen, Kala 1.01 2020
181221350 Joosten, Konate 1.78 2022
726565304 Crimmins, Khadem 4.70 2018
188002006 Arundel, Nagore 3.54 2019
215524450 Thornes, Campo 3.71 2020
428687104 Sink, Myles 2.39 2022
185825779 Doran, Iratxe 4.66 2020
509436333 Sienko, Nao 0.20 2018
325475697 Medved, Georgiy 4.06 2020
413874758 Simmers, Grettel 3.75 2021
753434764 Ghebremicael, Jonah 1.69 2018
415153952 Sugerman, Codou 3.36 2022
357513153 Vallecillo, Benny 1.81 2019
733739591 Naze, Huc 2.62 2021
010112297 Louque, Paulo 0.42 2022
451971849 Compagno, Gertha 4.28 2020
899883937 Jungwirth, Serhiy 3.35 2018
341152894 Cutillo, Latviešu 2.10 2020
500740568 Lallo, Odette 2.37 2019
768846214 Spicher, Anyelina 3.83 2020
899956485 Kesson, Amadu 2.01 2020
770322830 Melich, Alf 1.28 2019
638525023 Garay, Zeenat 0.03 2018
829203586 Ange, Olha 2.58 2021
255626427 Klopp, Rodion 0.68 2018
689322968 Davia, Chunxia 4.30 2021
228584335 Rossum, Guillermin 4.11 2022
796423219 Pearse, Chenyu 1.80 2018
615316587 Wagenknecht, Ghada 2.54 2022
507265648 Frech, Manoj 0.54 2022
497716982 Cuzzo, Ayeisa 2.82 2021
019908103 Stoudt, Emerenciana 0.89 2022
849564889 Ginty, Radka 3.69 2018
454185500 Vankeuren, Surya 4.03 2022
619230952 Campese, Evandro 4.15 2022
187009504 Frehse, Castorina 2.08 2018
880652979 Dinsmoor, Saraniu 4.50 2019
615272381 Batcher, Aimee 0.56 2019
060490847 Bendavid, Lealdina 2.98 2021
395156698 Tiso, Houcein 3.20 2022
274861616 Bykowski, Maisie 1.13 2019
318531727 Nickleberry, Yoseba 2.04 2022
189577057 Gerych, Jihan 4.63 2022
640458159 Laudat, Mayda 4.47 2021
814539545 Parnell, Tirsa 4.72 2019
059385296 Wolma, Hamadi 2.52 2020
178278101 Karry, Elizebeth 4.30 2018
377871192 Cantfield, Bastiaan 4.68 2022
886195334 Battaglino, Alistair 1.91 2022
331449098 Houman, Dorina 1.48 2019
494147423 Kellow, Viktoras 3.48 2022
277981344 Stefanatos, Elisia 2.20 2021
942327368 Alge, Peggy 3.70 2020
651150388 Mangine, Chana 4.00 2018
326364814 Havel, Sohel 0.01 2021
036455086 Ferracioli, Hendrik 0.33 2020
105675624 Michelfelder, Marget 3.42 2019
148059243 Showden, Gudelia 3.81 2020
484427508 Desanty, Winifred 2.06 2021
105212277 Ficorilli, Gicuta 0.89 2022
748072876 Maas, Kaddour 4.63 2022
660323255 Cacy, Rodolphe 3.54 2021
862328930 Schnautz, Xiaolian 3.77 2021
904755455 Bercegeay, Biserka 4.32 2018
710664227 Morcos, Eduina 0.77 2018
382496120 Cilfone, Kaori 2.79 2019
271331335 Tua, Olin 1.61 2021
486866897 Callicutt, Argider 3.25 2022
768948353 Okuniewski, Agora 1.07 2020
103613221 Salameh, Sobeida 2.54 2021
274409765 Delligatti, Nedra 4.78 2021
656389929 Sprinkles, Abdennour 0.53 2019
096685680 Ehrhardt, Nouraddine 4.87 2019
937498498 Kohner, Shabnam 0.38 2019
294726983 Strekas, Peggy 1.63 2021
645569821 Hardesty, Yasmani 1.23 2018
946400642 Hilse, Christine 1.58 2018
921839397 Zeff, Uxua 3.83 2020
898546423 Mccarty, Rostislav 0.60 2022
204910874 Hric, Silmara 1.86 2021
122422660 Maurey, Galina 3.62 2021
456325091 Serapion, Xenia 4.38 2019
710260867 Showman, Oreto 4.77 2019
212281664 Rinker, Silviya 3.19 2022
185138313 Dockham, Sieglinde 1.31 2019
500641757 Thurrell, Modi 2.53 2019
226199168 Chowansky, Fodie 3.08 2021
890050534 Mitsakos, Lucas 1.40 2021
926248254 Donaghy, Macedon 1.67 2018
452902563 Kever, Lur 4.19 2022
641622941 Papich, Yasunari 4.01 2022
068141500 Dunsing, Gaspara 0.31 2022
423891513 Klinkenberg, Herb 1.50 2019
937783528 Dobis, Odessa 1.00 2018
917970383 Nanthanong, Alano 3.55 2022
930312948 Earnhardt, Flors 0.34 2018
895613581 Sert, Margareta 0.31 2022
749395599 Cost, Coloman 2.01 2022
347698028 Cue, Enai 4.18 2018
005886276 Fatica, Paciana 2.48 2018
523074479 Vardy, Soliman 4.37 2020
265796732 Jurica, Ligaya 1.04 2019
293694934 Ellifritt, Siamak 0.13 2022
103063842 Schwertner, Sirkka 3.43 2022
464197744 Dignan, Naoual 0.62 2018
677498076 Greely, Elbachir 3.41 2020
385991648 Robella, Zahir 0.90 2019
490569737 Goff, Rosmarie 0.10 2018
396842625 Foulcard, Dustin 1.78 2022
088089215 Khuu, Arletta 2.72 2020
462038719 Komula, Chunxiang 0.83 2018
675768427 Tomkiewicz, Denver 4.22 2018
459102662 Naz, Randolph 3.95 2020
421062037 Landreth, Oleguer 2.01 2021
308025883 Tappe, Boualam 1.69 2019
938742238 Weynand, Selmira 4.83 2018
945907231 Barthen, Nivaria 2.64 2021
024813453 Marki, Patrycja 0.37 2018
570926431 Helmkamp, Panfilo 2.78 2019
893863572 Falt, Guaditoca 3.42 2019
057963367 Samick, Koichi 0.26 2018
992322615 Niehus, Yasiel 4.75 2020
229751733 Morrisroe, Sheikh 4.88 2021
089915289 Verdun, Mohit 3.09 2022
354866584 Laskey, Hang 0.10 2022
464635228 Feulner, Toshko 2.63 2018
645704340 Freelove, Henoc 3.80 2022
440297514 Hunderlach, Chafika 0.16 2021
341265183 Tidrick, Abdessadeq 0.94 2021
550827764 Charnley, Contemplacion 0.03 2019
787063502 Wittkop, Francine 3.31 2021
760240540 Poppe, Urbana 2.69 2019
649181417 Muhlestein, Vita 0.78 2020
607433895 Gilhuly, Halina 4.65 2019
159130530 Klausner, Yuriko 4.07 2018
506587380 Kacik, Bertie 1.97 2018
988449031 Basso, Renan 4.18 2020
351109646 Kosloski, Yeraldin 2.55 2018
550972001 Hammerstad, Mencey 1.13 2022
490271897 Kolopajlo, Haitz 4.23 2020
888408888 Gnegy, Laurine 4.72 2022
399780111 Hidde, Guayre 1.83 2022
363790585 Huron, Maruja 1.73 2019
406283672 Zickefoose, Shauna 0.65 2020
410591291 Gowler, Agostina 1.87 2020
130676275 Bleeck, Anjum 4.85 2018
091582632 Niver, Aissatou 3.27 2020
495055901 Barthell, Vanuza 4.87 2021
489535335 Lanno, Aurkene 0.79 2020
012146168 Bulloch, Lahoucine 0.66 2022
403429580 Hippo, Jaouhara 2.59 2020
945000889 Bodden, Holley 2.57 2019
530040870 Faries, Shijie 3.82 2019
409824137 Kie, Annabell 1.66 2019
018100296 Shacklett, Zakariya 3.19 2019
416678657 Litwiler, Crystal 3.72 2018
247927189 Gralak, Yzan 3.66 2020
677442788 Sturner, Benardino 3.55 2022
284009078 Mcquade, Idella 0.24 2019
607692681 Denski, Jayme 2.90 2021
443893731 Genualdi, Xiuzhen 0.60 2019
616884558 Hardaker, Ibtissame 4.69 2020
784198680 Pigue, Liming 1.07 2019
714052810 Manansala, Abdellaziz 3.95 2018
364151520 Parras, Monserra 4.69 2019
066021764 Buschman, Lifang 0.68 2021
996271747 Glista, Xianzhong 4.32 2018
376123658 Steider, Albertina 4.78 2022
563081501 Dominquez, Aisling 3.32 2020
968643741 Cardozo, Yennifer 1.52 2020
630723255 Rafalski, Hayar 0.61 2022
185452982 Turbe, Fabiane 3.35 2019
513692800 Brayer, Ishwar 0.27 2022
145930459 Claughton, Cheree 3.42 2020
416151938 Kaewprasert, Saeeda 0.77 2018
553280590 Croslin, Jayden 0.64 2021
555258133 Bhaskar, Alessandro 4.24 2019
280556410 Gandhi, Celida 3.50 2018
507297492 Matsuoka, Zahraa 4.01 2019
229942034 Malagisi, Asunta 0.90 2019
783226690 Goehringer, Xisela 2.43 2021
434822644 Devonish, Benjamin 4.64 2020
391933401 Muranaka, Francheska 4.20 2020
257671949 Alsop, Husein 3.95 2021
734858216 Ginocchio, Abdelaati 3.94 2019
292017208 Konicki, Teodomira 4.08 2019
478535149 Gianelli, Geir 0.80 2018
228991360 Lownsbery, Dafne 3.72 2020
531061353 Anglea, Wang 2.82 2020
831823418 Mochel, Zanobi 2.98 2019
356637958 Bartolone, Rusty 3.77 2019
111178854 Engleking, Jianyun 1.23 2022
589877405 Bolejack, Glen 1.43 2019
987796987 Gocek, Athina 4.82 2021
969171489 Naso, Yonaida 2.70 2020
195237584 Uyeda, Lovetta 4.31 2022
584902901 Clifford, Jone 2.41 2019
847754094 Bhagat, Salomon 4.20 2020
596247898 Armeli, Samoil 0.20 2019
920803114 Kinnion, Roxie 0.08 2019
194748747 Sokolski, Echo 0.53 2020
158099148 Bartlone, Diallo 2.99 2022
302832464 Wery, Glennis 2.57 2021
307280573 Frietas, Albarina 4.96 2018
348054013 Keitzer, Aksiniya 0.40 2022
833193192 Augello, Omaida 3.72 2018
698923982 Gauvin, Amaru 2.89 2019
660831704 Pardee, Svajunas 0.56 2022
071857535 Drozdowski, Huimin 1.33 2022
771574791 Molock, Gay 0.64 2022
159408568 Gdula, Janie 2.08 2020
577899524 Ramelb, Zoran 1.93 2022
928048614 Puthiyamadam, Irinel 2.26 2020
325998106 Mckenley, Antimo 1.27 2019
260241498 Vandiest, Elwanda 2.13 2022
403778348 Paulic, Felisindo 3.20 2018
933357877 Gayer, Celestino 2.53 2020
460721811 Turrietta, Tijani 1.47 2019
969345051 Evanson, Nassiba 3.93 2019
217186699 Cossette, Akiko 3.43 2021
477631840 Corsaro, Ole 2.88 2019
106023721 Pacubas, Mikhail 4.31 2019
871352743 Iqbal, Hercilia 2.89 2018
679669271 Morfee, Gracinda 3.36 2020
602439071 Pilarski, Jeaneth 1.04 2021
608719508 Bergum, Ethelyn 2.79 2022
981823843 Begnoche, Radek 0.40 2020
320506217 Carlacci, Robustiana 1.87 2021
368912371 Garelick, Octavi 2.24 2019
078456192 Hagley, Scot 3.34 2022
694968325 Wolpe, Yifei 2.87 2019
296958537 Scharte, Xuebin 2.91 2019
535955326 Rowles, Harbhajan 2.06 2018
822039131 Cusson, Arno 1.58 2019
189494159 Slavis, Asha 1.72 2022
317686752 Mccalman, Marcia 1.76 2021
297932594 Frauenkron, Aristoteles 2.15 2018
582594661 Kaniewski, Dedra 3.53 2020
346906668 Schacher, Idali 3.55 2021
117288972 Heath, Hernando 1.27 2022
495956738 Mazzaferro, Yunying 3.69 2018
811984964 Palmerin, Severiano 4.34 2019
429056147 Vanschoick, Sherika 3.71 2021
936634776 Kordiak, Amaru 1.04 2021
425731034 Tamblyn, Akilah 3.80 2021
110453760 Hohlfeld, Reshma 3.25 2021
432280391 Sturk, Nouhaila 4.50 2020
287952370 Mady, Viorel 4.41 2018
295423250 Brigantino, Rusty 1.50 2019
375194200 Hubsch, Abbie 2.17 2019
092528444 Omernik, Petruta 0.32 2020
150255437 Sonnek, Timea 0.04 2019
502700770 Quezad, Weijun 2.39 2018
486224815 Selders, Davinia 1.26 2022
691353917 Leaphart, Simoneta 2.30 2022
470973061 Linkhart, Bader 1.27 2020
289873307 Matamoros, Svenska 4.93 2020
638937612 Lavin, Berta 3.49 2020
791020931 Grauer, Raven 3.33 2018
544181700 Ehrismann, Edoardo 3.21 2019
284971114 Bells, Irache 0.88 2020
459115728 Zambarano, Norberta 0.86 2021
316962938 Stovall, Rafika 1.70 2020
508978244 Windell, Herminio 3.69 2019
367279489 Heiny, Gianella 3.19 2019
499449035 Burakowski, Germaine 3.10 2020
624906417 Hobson, Nazan 2.20 2020
927267780 Wonders, Palomares 0.27 2021
957154268 Mccanless, Mikael 1.75 2022
020723840 Linebrink, Suzana 0.15 2020
894599739 Wassinger, Nene 2.90 2020
776009437 Edmund, Wieslaw 1.93 2018
957434678 Hyland, Jacquelyn 0.19 2022
841077240 Lichtenstein, Jakobe 2.57 2022
581670277 Mezick, Deandre 3.82 2018
359739876 Alpis, Malisa 4.42 2018
694275095 Escoe, Herney 1.32 2019
546564522 Leamy, Lhoussine 4.11 2021
315614646 Swenk, Petranka 0.12 2020
866266815 Reidinger, Amberly 4.24 2019
818697183 Gudino, Diyana 3.63 2018
084386014 Winkles, Coleen 3.28 2022
401958315 Schurz, Catita 2.72 2020
588600686 Strout, Magnus 1.90 2022
887049664 Caire, Raiza 2.90 2019
326238674 Virostko, Delphia 0.43 2019
838039703 Thwaites, Oro 2.77 2022
112092025 Rad, Joie 0.06 2020
143737052 Shonts, Fermina 0.21 2018
480539097 Carmichel, Miracle 4.43 2020
779800590 Paywa, Hosain 3.92 2018
429853224 Bundley, Venerable 2.94 2019
835666537 Roath, Deicy 0.99 2021
702015663 Marek, Ezequiela 1.96 2020
604692199 Balestrieri, Violette 2.01 2019
061265096 Stavsvick, Leovigildo 2.93 2020
187698395 Arcilla, Ivanova 4.74 2018
489677943 Derby, Rafaqat 4.94 2020
125957188 Skoien, Aguedo 1.58 2018
907616072 Schlesener, Antonica 0.78 2021
301679486 Meleski, Lech 0.10 2019
757542238 Corpuz, Hanza 0.42 2021
281822899 Solomon, Mourtalla 1.38 2018
949618658 Rinehardt, Zubair 0.07 2018
450711364 Mccuan, Wanderley 2.41 2018
248903958 Mctighe, Melcion 3.99 2019
391515007 Dalessio, Sophia 2.98 2022
759165009 Bruley, Maisa 1.56 2022
310799921 Burzlaff, Ivy 3.09 2020
430067705 Dorlando, Yassmin 1.73 2018
549008367 Prosonic, Arelys 1.80 2021
301544027 Helfen, Edrisa 2.32 2019
443627814 Holstine, Chada 4.70 2022
736309386 Ihenyen, Rode 1.70 2020
098198963 Riechers, Liset 3.62 2021
345701307 Strawser, Pradeep 4.05 2019
850877008 Conolly, Aiyana 0.07 2018
965727770 Balla, Huerto 0.04 2018
099139698 Samuell, Amadina 2.30 2018
658057123 Brogna, Etha 3.77 2022
990152333 Kolupke, Eddy 0.54 2022
973777204 Ginzel, Yunlong 2.18 2021
487282549 Dicke, Lorriane 0.41 2019
428757516 Bartgis, Jozsefne 4.54 2022
084073899 Falconio, Perfecta 0.10 2021
120287616 Spagna, Mallory 3.34 2021
267624194 Bisel, Mariuca 4.00 2018
437637078 Chilinskas, Itzal 2.27 2019
923723406 Carnrike, Mariatou 0.81 2018
529405365 Genous, Cirilo 2.86 2021
183593195 Nwachukwu, Vilson 1.26 2018
663876590 Holian, Antidio 3.52 2020
946271017 Fower, Wilda 4.41 2021
710867814 Timoteo, Ilze 0.16 2021
696453001 Dirth, Ornela 1.39 2020
762800474 Levengood, Thor 2.92 2019
267038483 Kenekham, Gran 0.17 2019
179380649 Shufelt, Miguelangel 4.99 2018
552767982 Wittekind, Melani 0.55 2020
741192964 Blonigan, Jacek 1.75 2021
246891485 Bobowiec, Eihar 0.90 2021
872225880 Tanzi, Ruperto 2.94 2019
188288687 Vicens, Barrett 0.94 2020
416384454 Odenheimer, Llanos 2.88 2022
549805115 Saluto, Ercan 1.91 2021
330573833 Sheehy, Cherno 1.52 2018
944616051 Zeavala, Viktoryia 1.24 2021
526663115 Vanaria, Clelia 5.00 2019
916466628 Sepvlieda, Sidaty 0.90 2022
320971391 Witter, Tricia 4.90 2018
994418741 Moravec, Fredric 3.48 2019
601174268 Myren, Meilian 2.21 2022
179451872 Pasculli, Rahama 2.38 2022
821565980 Elamin, Neisa 4.99 2022
642244281 Linkhart, Asunta 0.62 2018
126210936 Kornfield, Code 2.54 2021
989714639 Beydoun, Denisse 0.67 2020
964797069 Neyer, Abou 3.47 2019
899788238 Duker, Sandy 2.93 2018
716698822 Centore, Raed 1.74 2020
138840693 Zacharias, Eleanore 2.86 2018
182276240 Seecharan, Haran 3.92 2022
303399321 Ramoutar, Arquimedes 3.06 2018
005716199 Stanek, Fettah 1.06 2022
405658568 Bohaty, Evia 1.16 2022
701658361 Ortaga, Elias 4.75 2019
785914404 Tigue, Parvoleta 0.33 2018
414525512 Rittie, Iriana 4.97 2018
620676418 Trexler, Gayle 3.38 2018
631142989 Luelf, Parthenia 2.91 2018
359597127 Allford, Magnus 4.07 2020
839309453 Cupelli, Kayleigh 1.80 2020
958379807 Siker, Eladia 0.77 2019
325104190 Aguallo, Lahbib 4.52 2020
364161201 Margo, Malin 3.27 2019
306479788 Howze, Muskilda 2.61 2020
811331788 Strout, Ellie 3.54 2018
341029676 Shawber, Suleika 2.56 2020
738262437 Zamora, Viktoriia 1.70 2019
780096913 Bono, Torbjorn 4.80 2020
810868107 Paci, Russell 2.34 2022
910075973 Mcshane, Bixia 2.68 2021
013131930 Scancarello, Gertrude 2.09 2020
880489963 Steinbock, Francoise 4.26 2022
729975238 Wyrick, Govinda 2.37 2022
123240148 Custard, Servio 1.70 2022
556118452 Dorrill, Xuhar 1.99 2022
155381517 Malina, Lashell 0.78 2021
957749588 Sommerfield, Categoria 1.51 2018
724903625 Sall, Breixo 4.21 2019
084097175 Morganson, Hari 0.58 2022
781825075 Camara, Edorta 3.25 2019
492728655 Roehrman, Anselm 4.94 2020
145678537 Kriz, Yingying 0.66 2018
176103255 Wiggett, Nakesha 2.04 2020
776522006 Giampaolo, Benoit 2.00 2019
880657357 Montijano, Koldobike 0.20 2018
428342898 Binegar, Zamira 1.02 2018
951542349 Ence, Fatimatou 4.89 2021
169997696 Salzano, Ziortza 1.80 2018
938600434 Butsch, Dennys 0.14 2020
854596655 Chalupa, Harbhajan 0.63 2020
431787781 Mulhollen, Loreta 4.94 2020
962540019 Botticello, Estela 0.02 2022
103450727 Shive, Raja 4.93 2022
386775518 Kepke, Ridha 0.34 2021
988955469 Darveau, Abdelkrim 1.02 2022
386625372 Pal, Leyre 4.84 2021
530230384 Erhardt, Nosair 4.79 2018
401894341 Chupp, Belina 0.25 2019
099952546 Thoma, Khadidiatou 2.54 2021
006934014 Fordyce, Soila 4.31 2021
871772804 Magleby, Lakeisha 1.07 2020
820415934 Caple, Yoni 1.40 2022
959502630 Angelone, Sofica 2.05 2022
666079784 Gensel, Salobrar 2.24 2021
118684054 Bryand, Sayah 1.11 2022
078878129 Dunleavy, Misericordia 1.92 2018
464964139 Pribyl, Hilde 2.85 2019
442866958 Moribayed, Shenna 2.09 2018
967291264 Wegrzyn, Stepanie 0.36 2022
069762697 Toone, Theophilus 3.57 2019
296981693 Aipperspach, Kathryne 2.90 2020
483896294 Hudack, Jeniffer 0.40 2022
145473495 Thornberg, Creu 0.21 2021
685925738 Oshinsky, Nydia 1.65 2022
835585104 Guzmdn, Valerian 0.63 2019
778054148 Avellino, Abdelfettah 0.85 2019
222652364 Janzen, Sydney 0.28 2021
364433447 Bis, Talat 0.36 2019
177101865 Galanga, Judit 1.45 2018
756483931 Golan, Rosalba 0.19 2019
322236043 Lockheart, Bahiya 1.03 2019
159640330 Corey, Shanti 2.33 2020
377160636 Dubreuil, Kasha 0.33 2020
107764290 Bevens, Bismark 1.46 2018
873218297 Binns, Lindaura 0.08 2022
819314281 Stier, Kaddour 4.82 2018
344256938 Cousins, Vashti 1.14 2018
921770724 Davda, Hannes 4.90 2018
100510657 Nease, Sorkunde 4.96 2021
764367009 Morison, Ralitsa 1.67 2021
520096839 Linck, Esma 2.41 2021
740731690 Dwaileebe, Sanya 0.76 2021
374462981 Kluz, Savannah 4.53 2021
378767374 Schempp, Merab 3.15 2018
864648142 Rosener, Moncef 1.46 2021
711430524 Cranmer, Tammy 2.67 2021
302701745 Mcghie, Sylvie 3.08 2018
638521085 Singer, Rabie 2.37 2020
192670739 Colchado, Jiacheng 4.99 2021
994960017 Reder, Cosima 4.11 2020
251518694 Ruetz, Yufei 2.74 2021
870968870 Maloof, Vivas 4.78 2021
661442023 Broda, Ethel 4.02 2022
437559663 Remondini, Christen 4.41 2018
891869958 Bohner, Linlin 3.71 2019
992604362 Gunkelman, Dima 3.11 2022
388566054 Doino, Lakesha 3.97 2022
415987540 Alexion, Serigne 4.24 2020
346599865 Gilford, Kostiantyn 0.64 2018
622338989 Musacchio, Ekhiotz 3.09 2019
638345686 Vittorini, Demetria 2.95 2022
784341330 Ferretti, Maryetta 4.37 2018
719420978 Berch, Chafika 4.71 2022
677712528 Toelkes, Talha 0.47 2018
415562811 Ahsing, Domenic 1.31 2020
