000027379 Trachtenberg, Illia 2.18 2021
002087579 Crissinger, Harpal 1.75 2021
002096230 Schmerer, Olya 3.10 2021
002098348 Plambeck, Tiberio 1.35 2021
002125525 Viele, Beñat 2.53 2019
002129497 Brun, Carolyne 2.47 2020
002131879 Lewinski, Aimin 0.64 2018
002133424 Omoto, Moneyba 4.21 2018
002142642 Norstrom, Jagoba 3.49 2020
002154795 Ahlgren, Fodil 2.84 2021
002159649 Lichtenberg, Cezary 0.80 2022
002164252 Gerdsen, Khadi 2.74 2021
002167667 Falzon, Enza 0.92 2022
002173241 Waggy, Albaro 4.15 2020
002176731 Lesane, Rizwana 4.35 2020
002180023 Kano, Kenyetta 2.20 2020
002185281 Artrip, Chante 2.30 2021
002189987 Braulio, Dean 2.33 2018
002198051 Ullah, Lukman 4.66 2021
002207116 Pan, Cheikhou 0.13 2019
002214159 Solomen, Teodomiro 4.72 2020
002221600 Penceal, Briseida 2.09 2020
002225698 Belch, Katiana 2.68 2021
002234540 Wasserman, Tareixa 1.40 2019
002261948 Felkel, Valeriy 3.27 2022
002262177 Lanski, Melissia 4.32 2019
002282292 Mackynen, Gleva 2.23 2019
002290680 Bjelland, Pascu 2.12 2018
002310893 Ciraulo, Ouahiba 2.94 2022
002326906 Malandruccolo, Maddox 0.35 2022
002330573 Haberer, Joachim 3.13 2020
002334754 Warrington, Giordano 3.31 2022
002340410 Gosney, Yaw 1.46 2022
002342031 Seidita, Teimuraz 1.72 2021
002353690 Borson, Vashti 4.91 2019
002365233 Nappier, Rim 1.60 2021
002366299 Gilling, Annelies 4.02 2019
002388949 Ours, Ihor 4.56 2021
002426569 Ung, Lauro 0.94 2022
002430840 Moccia, Anatael 1.04 2022
002446399 Engelkes, Cleusa 3.73 2022
002452741 Cilley, Alevtina 1.01 2019
002461835 Vasaure, Karrie 4.12 2018
002469797 Caley, Pernille 1.44 2022
002483584 Wessner, Rabah 2.09 2019
002484781 Pinal, Gwendolyn 4.31 2020
002486398 Forsythe, Guojun 2.23 2018
002490927 Mcmunn, Maniang 1.59 2022
002493574 Mainella, Lovie 1.71 2022
002525910 Anichini, Lounes 3.86 2021
002566139 Ovesen, Dagny 0.46 2021
002566864 League, Moslim 4.84 2021
002572393 Varnell, Haytham 3.84 2018
002599867 Devault, Michel 2.81 2022
002602788 Rummel, Toader 2.77 2021
002610996 Alberico, Xinmei 0.14 2019
002612817 Sotolo, Joyce 0.17 2022
002629272 Klich, Shady 0.23 2019
002634364 Yusuf, Xanti 4.30 2018
002642145 Barney, Jasvinder 2.78 2021
002651921 Carlsten, Adham 2.46 2019
002660975 Cannan, Nicereta 0.42 2018
002664494 Madi, Macaria 3.61 2019
002676335 Lare, Velika 3.41 2019
002680134 Bronw, Takisha 3.91 2021
002694403 Craiger, Norka 0.11 2018
002707390 Demary, Diana 3.87 2020
002708059 June, Zenon 3.09 2019
002711895 Dewberry, Estela 2.86 2018
002722042 Delmastro, Taibi 3.07 2022
002733871 Adamski, Neves 4.15 2019
002737281 Oxnam, Rehana 0.56 2021
002741654 Caspers, Narda 1.71 2021
002749760 Brisbane, Lamia 2.99 2021
002750047 Laford, Axier 3.41 2020
002750661 Aquilino, Antero 0.94 2021
002754130 Masur, Leocricio 4.91 2021
002778662 Lairmore, Gheorgue 1.15 2018
002780148 Mihlfeld, Iliuta 3.04 2019
002792143 Kunicki, Mareme 0.65 2021
002810226 Kyte, Abdou 4.40 2018
002816085 Penegar, Ilyasse 4.58 2019
002817756 Moscoffian, Elfriede 0.16 2020
002822772 Rueb, Soledad 0.17 2022
002834983 Rebel, Dorothea 4.77 2021
002836044 Galang, Nannette 3.04 2020
002838762 Ryen, Solo 0.42 2018
002865672 Hulton, Ibtihal 4.17 2021
002884515 Middlemiss, Cary 0.81 2020
002893986 Stadel, Afonso 3.89 2021
002910412 Braegelmann, Shayan 2.68 2022
002931069 Keanum, Damiano 2.32 2021
002949522 Dubray, Boughaleb 0.97 2020
002959256 Kannenberg, Cuimei 2.95 2019
002963838 Stetz, Brahma 3.73 2021
002972369 Gudroe, Yacouba 0.79 2020
002986190 Nailer, Abderrazak 3.41 2019
002997254 Cafasso, Khelifa 2.29 2019
003009836 Stoffels, Matteo 3.54 2022
003024223 Volle, Kemuel 4.26 2019
003024427 Dimattia, Emerinda 4.83 2019
003028164 Thalmann, Mayerlin 2.05 2022
003033970 Hemeyer, Trifina 1.37 2019
003033917 Lipsitz, Salva 0.01 2020
003039819 Konigsberg, Rigel 3.58 2019
003041146 Guttierrez, Natali 2.43 2018
003052134 Stonecipher, Kyra 4.02 2022
003053297 Shulda, Concesa 2.82 2022
003074676 Vizcaino, Redwan 1.86 2020
003085613 Mcelroy, Osahon 1.48 2021
003086314 Vangerbig, Katelynn 2.09 2020
003089575 Pulk, Siria 0.05 2021
003089133 Tozier, Fabrizio 4.87 2018
003092513 Shurkus, Culita 1.29 2018
003098052 Jeanpaul, Nataly 3.24 2019
003132018 Mahuna, Margene 3.07 2019
003139223 Lola, Tami 1.38 2021
003142526 Zappile, Andriyan 4.92 2020
003144081 Reim, Ianire 0.95 2022
003152480 Yarn, Fatima 2.24 2022
003162309 Marovich, Vidas 2.95 2021
003170046 Klosner, Merçe 2.32 2020
003171037 Krochmal, Hodei 1.46 2022
003171694 Bershadsky, Makha 3.55 2021
003171925 Rowland, Felica 2.68 2020
003174467 Beebe, Sinay 0.22 2022
003175468 Wason, Giuseppa 4.52 2021
003180962 Bartosiewicz, Agostinho 4.15 2020
003184013 Ellens, Vico 0.22 2018
003192963 Hegland, Falak 1.75 2019
003195493 Weisner, Annabella 4.97 2018
003196342 Hung, Dewitt 0.14 2018
003197921 Gitto, Aurel 4.19 2020
003197700 Coltman, Amilcar 3.68 2018
003208840 Skimehorn, Gottfried 0.05 2021
003235470 Ehrlich, Camila 0.14 2018
003243973 Saltonstall, Regenia 4.51 2019
003262213 Rosengren, Yongjun 4.38 2020
003268681 Longest, Meziane 4.46 2018
003271291 Gudenkauf, Yang 2.64 2021
003287176 Panzarella, Kabbour 4.02 2022
003301998 Kamaunu, Lalia 4.95 2019
003310760 Heidler, Xiaochun 0.60 2018
003317125 Sarcinella, Marineide 3.40 2018
003344894 Herkert, Mariah 2.54 2020
003346334 Mcalvain, Kheira 4.49 2020
003357214 Suggitt, Lisha 0.34 2022
003360884 Dunsmore, Isamel 2.85 2018
003368876 Trover, Priyanka 2.83 2022
003381728 Glesener, Anta 3.87 2021
003413335 Zumpfe, Timothee 2.84 2019
003421119 Ketcherside, Aboudou 0.78 2019
003451496 Schoeppner, Odalys 0.51 2019
003465057 Barreira, Donvina 1.09 2022
003468106 Morandi, Patsy 4.56 2019
003474505 Buseck, Kadija 1.48 2021
003479827 Postle, Walberto 1.74 2022
003483615 Birkenhead, Husein 3.51 2022
003489606 Porat, Baruch 0.37 2021
003492843 Pesantes, Reginald 3.80 2020
003517343 Sallade, Shuo 1.85 2021
003527919 Hawksley, Aretha 0.71 2018
003534905 Meininger, Aimen 1.45 2021
003537801 Schirmer, Acracia 2.22 2020
003545894 Okihara, Sumei 2.48 2022
003552205 Stuemke, Banta 3.41 2018
003560867 Fergeson, Ravinder 2.61 2021
003566875 Knupp, Juani 1.65 2021
003573938 Colflesh, Stamen 3.92 2018
003583416 Klocke, Jianrong 3.29 2020
003589837 Lozey, Selva 3.36 2020
003600221 Kuyper, Nelita 2.58 2018
003605329 Thew, Zeenat 0.37 2019
003609312 Seyb, Haoxuan 3.64 2018
003620003 Zindel, Renjie 3.03 2021
003626956 Latortue, Xiaokang 3.46 2021
003631546 Pelligrini, Yao 3.14 2020
003641021 Sherard, Aid 0.46 2019
003650622 Fatigate, Kestutis 2.22 2018
003652400 Fayson, Claudino 2.50 2021
003666686 Potolsky, Earnest 1.88 2020
003672754 Bichsel, Xuefang 4.52 2021
003673422 Pecha, Borisov 1.35 2019
003678607 Cistrunk, Remco 3.73 2019
003682754 Pray, Pavlina 0.39 2018
003682464 Fabiano, Margeret 3.15 2021
003708721 Soyars, Arsenio 1.35 2021
003726599 Barstad, Oleg 1.21 2018
003734886 Justin, Sylvester 1.11 2020
003741698 Tankersly, Loria 0.22 2019
003755173 Haneke, Balbina 2.12 2022
003755868 Baize, Ainoha 1.69 2020
003764372 Houk, Steen 1.48 2019
003765185 Monholland, Twanda 4.76 2022
003768224 Raulerson, Bonosa 0.45 2022
003774174 December, Arafa 1.85 2020
003777224 Mottley, Teodolinda 4.40 2022
003782991 Haggen, Elaia 1.11 2022
003800962 Kutch, Massamba 2.44 2018
003801041 Stocking, Oumy 0.24 2019
003814321 Papiernik, Elfidio 3.06 2021
003821604 Lovfald, Sofiia 4.10 2018
003834344 Hules, Leana 1.01 2022
003844923 Corban, Nazrul 0.50 2021
003883970 Mcvicker, Lanie 4.95 2021
003892204 Militano, Valle 3.72 2020
003892176 Cutaia, Natascha 1.27 2019
003894722 Lowndes, Carmina 4.42 2021
003898914 Kappel, Lena 2.64 2020
003905620 Alfero, Arabi 4.11 2018
003913999 Snodgrass, Benardino 4.01 2020
003918172 Wobbe, Venelin 2.91 2019
003919283 Knaff, Nilza 4.40 2021
003952282 Zalamea, Parasca 2.32 2018
003957349 Mcmeen, Marianita 0.41 2020
003966177 Ghea, Maybell 2.52 2020
003980839 Amyot, Niccolo 3.32 2020
003989818 Sweetwood, Amilcar 2.96 2018
003994360 Doland, Cleta 4.11 2020
004001141 Lebert, Fatumata 1.46 2022
004034387 Knoy, Elizabel 1.40 2020
004041705 Vivino, Jimmie 4.23 2019
004042034 Longstreth, Yuleima 0.06 2022
004047297 Spraberry, Hongwei 0.28 2020
004047261 Meitner, Marilena 4.93 2019
004068642 Rients, Jonhatan 4.10 2022
004085883 Como, Venetta 1.93 2022
004126963 Mechler, Xinjie 2.28 2021
004134154 Houk, Sergo 3.46 2022
004148952 Danish, Saturnino 0.28 2021
004155277 Steinback, Siyu 2.70 2021
004156546 Glasbrenner, Chafik 4.03 2022
004167585 Milhous, R 0.17 2018
004171069 Bednarz, Naceur 4.40 2018
004186287 Harritt, Rio 3.77 2018
004194561 Schlieper, Herminda 3.89 2020
004207430 Koshy, Adama 0.08 2019
004208763 Damms, Shavon 1.56 2020
004214777 Daivs, Porsche 3.05 2019
004221092 Jeanes, Tammera 0.08 2018
004239526 Pucella, Marjory 3.32 2021
004253161 Stanert, Lyubomir 0.06 2021
004272286 Baron, Nafi 3.41 2022
004275857 Siedlik, Rachida 2.44 2020
004286493 Diciano, Isreal 1.18 2022
004295804 Lickiss, Victorian 2.79 2021
004304220 Polsgrove, Neculae 4.79 2019
004305412 Dinos, Joachim 2.97 2018
004322623 Blackard, Vitelio 2.65 2018
004329030 Ebersole, Sow 1.28 2018
004338279 Weihl, Antonela 0.68 2018
004338663 Mao, Priscilo 1.69 2021
004359048 Hershman, Xueli 3.26 2018
004360588 Spraker, Agnaldo 4.18 2021
004363391 Macnevin, Esmael 0.17 2022
004373840 Tyra, Candid 2.65 2021
004382471 Rincones, Ponç 2.10 2018
004386173 Himber, Alonso 0.71 2020
004393204 Shimko, Heliana 2.51 2020
004417429 Tennent, Maguette 3.83 2020
004428465 Eckler, Nasiha 2.84 2020
004432552 Moronta, Shiva 1.04 2021
004444891 Malavet, Minervina 2.18 2021
004448350 Bialecki, Vitorio 0.69 2020
004452591 Sackman, Zixuan 1.55 2018
004452145 Chaulklin, Daoiz 3.70 2020
004466276 Karageorge, Abdelmalik 0.99 2018
004492518 Nielson, Sahara 0.37 2022
004493095 Spinetti, Adelio 2.99 2018
004495481 Thieme, Shante 4.60 2020
004520029 Drivers, Kelian 0.97 2022
004522212 Black, Alishia 4.75 2022
004531145 Fineberg, Avtandil 1.28 2018
004542286 Surette, Lorea 2.95 2020
004565620 Lemire, Yadiel 2.03 2022
004581781 Wellons, Yones 1.44 2018
004625630 Demary, Adria 0.52 2021
004626654 Crise, Dewey 4.15 2021
004631831 Simser, Zamira 1.61 2021
004632974 Kichline, Pool 3.91 2022
004665252 Musielak, Arhane 0.67 2018
004673386 Nievas, Riasat 4.15 2020
004675767 Gheen, Turruchel 4.05 2021
004701534 Gindhart, Marieme 2.70 2020
004712443 Cyran, Fariza 4.89 2019
004724896 Schwalbe, Mecedes 1.79 2020
004744019 Lauber, Foster 1.18 2021
004748681 Ednilao, Lizandro 0.42 2021
004754277 Trullinger, Emerald 1.90 2020
004777850 Mahnke, Licinia 3.78 2021
004780717 Immerman, Nesrin 1.67 2018
004782437 Fraleigh, Priya 3.66 2019
004787195 Iseri, Zaloa 3.97 2020
004789836 Munnerlyn, Zohair 3.43 2020
004838650 Capulong, Milada 3.12 2020
004839159 Whirlow, Yorel 4.53 2020
004897744 Hagger, Ascension 0.81 2019
004907465 Zuanich, Policarpa 2.71 2022
004930924 Mcleon, Airy 2.47 2020
004963577 Silverman, Disney 0.73 2021
005007501 Westcott, Ruxandra 3.13 2021
005010599 Dieppa, Chahira 2.25 2018
005017388 Bartch, Sterica 4.37 2022
005020812 Gronosky, Strahil 3.94 2022
005054154 Strandberg, Osahon 4.23 2022
005066821 Clinard, Maxence 2.76 2022
005075927 Spittle, Freeda 3.97 2018
005089415 Davda, Cin 1.64 2019
005101453 Ringle, Vinicio 4.04 2020
005113833 Eftekhari, Kawthar 4.31 2020
005123019 Ligonis, Mary 1.37 2021
005149551 Norvell, Vicent 3.29 2022
005157696 Bessent, Kyle 2.75 2018
005163461 Mercer, Humilde 4.46 2021
005173213 Zeiner, Remberto 2.75 2018
005180899 Barbot, Exiquio 3.16 2018
005185776 Strakbein, Kofi 3.86 2021
005193045 Kemmerer, Livio 1.30 2018
005196967 Murat, Beckie 2.84 2020
005202921 Suglia, Mekka 1.64 2019
005206408 Niewieroski, Nourdin 0.11 2018
005215780 Quihuiz, Khatir 1.86 2022
005225990 Riggings, Deva 4.92 2020
005233872 Shaver, Zola 4.97 2022
005239232 Bransom, Asmahane 4.89 2022
005266150 Treider, Leora 1.11 2022
005285645 Petrino, Fuad 1.87 2018
005289312 Ada, Baerbel 2.28 2022
005303726 Rousey, Lidiane 2.57 2020
005327758 Halajian, Nuha 4.61 2018
005342388 Konig, Abubakar 4.75 2019
005346622 Rigsby, Margaretha 3.82 2022
005352744 Quintano, Lily 4.79 2018
005375488 Jesseman, Baldiri 0.00 2018
005376481 Martella, Loan 0.13 2019
005378942 Lossa, Siyi 1.29 2021
005385785 Voge, Guifang 2.12 2022
005387435 Heiderman, Summer 2.71 2019
005392536 Lay, Salia 2.50 2020
005401278 Brownell, Zaina 4.73 2019
005416683 Baller, Argeme 2.30 2021
005417114 Welling, Xiuzhu 1.25 2020
005422210 Raub, Edelvina 0.92 2018
005437370 Uhrmacher, Iana 4.08 2019
005439449 Quillman, Markel 1.88 2022
005448822 Russe, Roselle 3.51 2018
005471679 Moresco, Lekbira 2.97 2019
005489257 Broadie, Jarnail 4.69 2019
005500424 Hinders, Darc 3.20 2022
005508403 Plasencia, Iagoba 1.86 2021
005515523 Vanhooser, Ayoze 3.57 2018
005524137 Mimms, Armida 1.44 2018
005534929 Lary, Atocha 0.86 2022
005537686 Wamack, Uranius 1.76 2020
005539131 Cuch, Eugenie 2.69 2018
005546674 Koffman, Boleslaw 0.71 2018
005557736 Diloreto, Estitxu 0.12 2022
005568208 Kamuda, Haruna 4.56 2020
005591276 Borwig, Coreen 3.38 2022
005591101 Plassmann, Meline 4.23 2020
005599814 Boglioli, Ludmila 4.43 2018
005602117 Oakleaf, Stefanita 1.35 2020
005623750 Cotton, Roshan 2.73 2019
005624047 Opal, Iran 4.02 2022
005645923 Koep, Sirine 3.35 2019
005685722 Hiday, Nacer 4.00 2021
005714457 Faries, Dayani 2.55 2019
005719526 Vanwingerden, Lincoln 1.37 2018
005729175 Munnelly, Omayra 4.53 2019
005730631 Mencke, Ezequiel 2.83 2022
005731996 Decou, Erondina 1.46 2021
005731713 Pinkett, Eiden 2.72 2022
005740145 Mccollough, Omaira 3.94 2019
005744911 Arzo, Chems 2.54 2021
005747522 Rogriguez, Hilarion 4.94 2018
005758672 Bussert, Prosper 2.05 2022
005765751 Marcinek, Victory 3.89 2020
005767755 Moure, Français 3.92 2018
005771554 Abuel, Sharri 2.15 2018
005779469 Casamento, Rodovica 1.17 2022
005803706 Klingaman, Mauro 3.62 2022
005821137 Bovell, Micha 1.17 2020
005822165 Fader, Hermenegil 3.35 2021
005826883 Maestri, Yrene 2.57 2019
005828540 Reavis, Inha 0.62 2021
005829261 Irvan, Mitrita 0.21 2022
005832378 Fengler, Eutropia 3.16 2018
005842721 Grassle, Atri 1.10 2018
005872299 Odien, Khuram 3.73 2019
005875797 Fossen, Abdala 4.52 2020
005876696 Varagona, Cherilyn 1.78 2019
005886729 Aiyer, Tigist 0.27 2019
005895410 Flick, Nahid 1.52 2019
005899193 Aupperle, Saikou 1.31 2021
005916162 Ownby, Georgiann 2.57 2019
005919875 Samain, Flavia 3.86 2018
005934225 Phipps, Toader 1.27 2021
005934843 Perazzo, Odonila 0.62 2020
005938011 Moskal, Vadims 1.61 2020
005940037 Heffley, Rose 2.37 2022
005962495 Pessin, Roar 3.56 2019
005975779 Faden, Akil 2.96 2019
005988333 Nelton, Jaclyn 2.19 2021
005993203 Sport, Norberta 1.15 2022
006001389 Grona, Cauzar 0.96 2019
006007809 Dimperio, Karolyn 4.04 2019
006008481 Charnley, Numan 3.96 2019
006063920 Amsberry, Sherrill 4.70 2018
006066052 Bridgman, Bina 0.76 2019
006084137 Dalecki, Annabelle 1.94 2020
006085154 Mondry, Bento 2.85 2020
006122585 Konye, Dianne 4.99 2018
006125695 Mecca, Adelita 2.93 2019
006157755 Branco, Willodean 0.28 2020
006167066 Grimm, Olesia 1.56 2020
006168075 Joki, Taleb 1.30 2021
006173961 Huner, Andera 1.00 2021
006174615 Kincaid, Carolo 3.14 2018
006201985 Paredes, Art 0.88 2022
006214539 Reiland, Nadene 4.93 2022
006228124 Bejjani, Lissette 0.30 2021
006231346 Mangen, Kelia 1.08 2020
006262479 Haring, Veridiano 4.63 2018
006268091 Floor, Narjes 0.14 2021
006273115 Eichberger, Raffaele 3.08 2021
006273480 Avant, Kiro 4.63 2019
006275506 Jane, Atta 0.29 2019
006280145 Umberger, Hajar 3.33 2020
006281418 Lehenbauer, Heredia 0.55 2022
006290269 Delwiche, Ilsa 2.76 2021
006295740 Saulters, Dainius 3.88 2019
006305853 Everline, Jabbar 2.79 2020
006307711 Garman, Costinel 0.60 2022
006310556 Nuno, Assad 0.80 2019
006318715 Ulbrich, Cuiping 3.61 2019
006330736 Haitz, Anesia 4.56 2018
006347807 Han, Filippo 3.64 2019
006371715 Waltos, Cora 2.30 2021
006382239 Richel, Malik 3.56 2022
006386715 Kudelka, Honorina 1.92 2018
006396343 Cripps, Yongli 1.62 2021
006400466 Reedus, Cilia 1.64 2019
006412070 Hellman, Shamil 4.69 2021
006438908 Abuhl, Jevgenija 0.95 2020
006448207 Contreres, Kazimiera 4.82 2022
006448242 Narayan, Assier 3.59 2020
006451098 Morsey, Dalmau 0.13 2018
